triangle                     3 vertices     1 triangles
quad                         4 vertices     2 triangles
plane_grid                  36 vertices    50 triangles
annulus                     66 vertices    64 triangles
cube                        24 vertices    12 triangles
uv_sphere                  435 vertices   728 triangles
capsule / spherocylinder    464 vertices   784 triangles
cylinder                   118 vertices   112 triangles
cone                        88 vertices    56 triangles
frustum                    118 vertices   112 triangles
torus                      435 vertices   784 triangles
pyramid_3                   18 vertices     6 triangles
pyramid_4                   24 vertices     8 triangles
prism_6                     60 vertices    24 triangles
antiprism_5                 60 vertices    20 triangles
bipyramid_5                 30 vertices    10 triangles
wedge                       18 vertices     8 triangles
tetrahedron                 12 vertices     4 triangles
octahedron                  24 vertices     8 triangles
dodecahedron               108 vertices    36 triangles
icosahedron                 60 vertices    20 triangles
cuboctahedron               60 vertices    20 triangles
rhombic_dodecahedron        72 vertices    24 triangles
truncated_octahedron       132 vertices    44 triangles
