tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo
0,ace_fighter89,0,10,6,0,-5,22,0,0,1,5,1,50,0,0,0,7,24,1133,0,0,999,998,80,0,0
1,ace_fighter89,0,7,11,0,-10,21,0,0,0,10,2,50,0,0,0,14,25,1255,0,0,999,998,80,0,0
2,ace_fighter89,0,3,17,0,-15,20,0,0,0,15,3,50,1,0,0,21,26,1266,0,0,999,998,80,0,0
3,ace_fighter89,0,-2,22,0,-20,19,0,0,0,20,4,50,1,0,0,27,28,1259,0,0,999,998,80,0,0
4,ace_fighter89,0,-8,27,0,-24,18,0,0,1,25,5,50,1,0,0,32,30,1253,0,0,999,997,80,0,0
5,ace_fighter89,0,-16,31,0,-29,17,0,0,0,30,6,51,2,0,0,37,34,1248,0,0,999,997,80,0,0
6,ace_fighter89,0,-25,36,0,-32,16,0,0,0,35,7,51,2,0,0,42,37,1243,0,0,999,997,80,0,0
7,ace_fighter89,0,-35,40,0,-36,15,0,0,0,45,8,51,3,0,0,47,41,1239,0,0,999,997,80,0,0
8,ace_fighter89,0,-45,44,0,-39,15,0,0,1,55,9,51,3,0,0,51,44,1235,0,0,999,996,80,0,0
9,ace_fighter89,0,-57,48,0,-43,14,0,0,0,65,10,51,3,0,0,55,47,1232,0,0,999,996,80,0,0
10,ace_fighter89,0,-69,51,0,-45,13,0,0,0,75,11,52,4,0,0,59,50,1229,0,0,999,996,80,0,0
11,ace_fighter89,0,-82,55,0,-48,13,0,0,0,85,12,52,4,0,0,63,52,1226,0,0,999,996,80,0,0
12,ace_fighter89,0,-96,58,0,-51,12,0,0,1,85,12,52,4,0,0,66,55,1224,0,0,999,995,80,0,0
13,ace_fighter89,0,-110,61,0,-53,11,0,0,0,85,12,52,4,0,0,69,57,1222,0,0,999,995,80,0,0
14,ace_fighter89,0,-125,64,0,-56,11,0,0,0,85,12,52,4,0,0,72,59,1220,0,0,999,995,80,0,0
15,ace_fighter89,0,-140,67,0,-58,10,0,0,0,85,12,53,4,0,0,75,61,1218,0,0,999,995,80,0,0
16,ace_fighter89,0,-156,70,0,-60,10,0,0,1,85,12,53,4,0,0,78,63,1217,0,0,999,994,80,0,0
17,ace_fighter89,0,-173,73,0,-62,10,0,0,0,85,12,53,4,0,0,80,65,1215,0,0,999,994,80,0,0
18,ace_fighter89,0,-190,75,0,-63,9,0,0,0,85,12,53,4,0,0,82,67,1214,0,0,999,994,80,0,0
19,ace_fighter89,0,-208,78,0,-65,9,0,0,0,85,12,53,4,0,0,84,68,1213,0,0,999,994,80,0,0
20,ace_fighter89,0,-225,80,0,-67,8,0,0,0,85,12,53,4,0,0,86,70,1212,0,0,999,994,80,0,0
21,ace_fighter89,0,-244,83,0,-68,8,0,0,0,85,12,54,4,0,0,88,71,1211,0,0,999,994,80,0,0
22,ace_fighter89,0,-262,85,0,-69,8,0,0,0,85,12,54,4,0,0,90,72,1210,0,0,999,994,80,0,0
23,ace_fighter89,0,-281,87,0,-71,8,0,0,0,85,12,54,4,0,0,92,74,1209,0,0,999,994,80,0,0
24,ace_fighter89,0,-301,89,0,-72,7,0,0,0,85,12,54,4,0,0,93,75,1209,0,0,999,994,80,0,0
25,ace_fighter89,0,-320,91,0,-73,7,0,0,0,85,12,54,4,0,0,95,76,1208,0,0,999,994,80,0,0
26,ace_fighter89,0,-340,93,0,-74,7,0,0,0,85,12,55,4,0,0,96,77,1208,0,0,999,994,80,0,0
27,ace_fighter89,0,-360,95,0,-75,7,0,0,0,85,12,55,4,0,0,97,78,1207,0,0,999,994,80,0,0
28,ace_fighter89,0,-381,97,0,-76,6,0,0,0,85,12,55,4,0,0,99,79,1207,0,0,999,994,80,0,0
29,ace_fighter89,0,-401,98,0,-77,6,0,0,0,85,12,55,4,0,0,100,79,1206,0,0,999,994,80,0,0
30,ace_fighter89,0,-422,100,0,-78,6,0,0,0,85,12,55,4,0,0,100,80,1206,0,0,999,994,80,0,0
31,ace_fighter89,0,-443,102,0,-78,6,0,0,0,85,12,56,4,0,0,100,81,1205,0,0,999,994,80,0,0
32,ace_fighter89,0,-464,103,0,-79,6,0,0,0,85,12,56,4,0,0,100,82,1205,0,0,999,994,80,0,0
33,ace_fighter89,0,-486,105,0,-80,5,0,0,0,85,12,56,4,0,0,100,82,1205,0,0,999,994,80,0,0
34,ace_fighter89,0,-507,106,0,-80,5,0,0,0,85,12,56,4,0,0,100,83,1205,0,0,999,994,80,0,0
35,ace_fighter89,0,-529,108,0,-81,5,0,0,0,85,12,56,4,0,0,100,83,1204,0,0,999,994,80,0,0
36,ace_fighter89,0,-551,109,0,-82,5,0,0,0,85,12,56,4,0,0,100,84,1204,0,0,999,994,80,0,0
37,ace_fighter89,0,-573,111,0,-82,5,0,0,0,85,12,57,4,0,0,100,84,1204,0,0,999,994,80,0,0
38,ace_fighter89,0,-595,112,0,-83,5,0,0,0,85,12,57,4,0,0,100,85,1204,0,0,999,994,80,0,0
39,ace_fighter89,0,-617,114,0,-83,5,0,0,0,85,12,57,4,0,0,100,85,1204,0,0,999,994,80,0,0
40,ace_fighter89,0,-640,115,0,-83,5,0,0,0,85,12,57,4,0,0,100,86,1203,0,0,999,994,80,0,0
41,ace_fighter89,0,-662,116,0,-84,5,0,0,0,85,12,57,4,0,0,100,86,1203,0,0,999,994,80,0,0
42,ace_fighter89,0,-685,118,0,-84,4,0,0,0,85,12,58,4,0,0,100,86,1203,0,0,999,994,80,0,0
43,ace_fighter89,0,-707,119,0,-85,4,0,0,0,85,12,58,4,0,0,100,87,1203,0,0,999,994,80,0,0
44,ace_fighter89,0,-730,120,0,-85,4,0,0,0,85,12,58,4,0,0,100,87,1203,0,0,999,994,80,0,0
45,ace_fighter89,0,-753,122,0,-85,4,0,0,0,85,12,58,4,0,0,100,87,1203,0,0,999,994,80,0,0
46,ace_fighter89,0,-776,123,0,-85,4,0,0,0,85,12,58,4,0,0,100,88,1203,0,0,999,994,80,0,0
47,ace_fighter89,0,-799,124,0,-86,4,0,0,0,85,12,59,4,0,0,100,88,1203,0,0,999,994,80,0,0
48,ace_fighter89,0,-822,125,0,-86,4,0,0,0,85,12,59,4,0,0,100,88,1203,0,0,999,994,80,0,0
49,ace_fighter89,0,-845,127,0,-86,4,0,0,0,85,12,59,4,0,0,100,88,1203,0,0,999,994,80,0,0
50,ace_fighter89,0,-868,128,0,-86,4,0,0,0,85,12,59,4,0,0,100,88,1202,0,0,999,994,80,0,0
51,ace_fighter89,0,-892,129,0,-87,4,0,0,0,85,12,59,4,0,0,100,89,1202,0,0,999,994,80,0,0
52,ace_fighter89,0,-915,130,0,-87,4,0,0,0,85,12,59,4,0,0,100,89,1202,0,0,999,994,80,0,0
53,ace_fighter89,0,-938,131,0,-87,4,0,0,0,85,12,60,4,0,0,100,89,1202,0,0,999,994,80,0,0
54,ace_fighter89,0,-962,132,0,-87,4,0,0,0,85,12,60,4,0,0,100,89,1202,0,0,999,994,80,0,0
55,ace_fighter89,0,-985,134,0,-87,4,0,0,0,85,12,60,4,0,0,100,89,1202,0,0,999,994,80,0,0
56,ace_fighter89,0,-1008,135,0,-88,4,0,0,0,85,12,60,4,0,0,100,89,1202,0,0,999,994,80,0,0
57,ace_fighter89,0,-1032,136,0,-88,4,0,0,0,85,12,60,4,0,0,100,90,1202,0,0,999,994,80,0,0
58,ace_fighter89,0,-1055,137,0,-88,4,0,0,0,85,12,61,4,0,0,100,90,1202,0,0,999,994,80,0,0
59,ace_fighter89,0,-1079,138,0,-88,4,0,0,0,85,12,61,4,0,0,100,90,1202,0,0,999,994,80,0,0
60,ace_fighter89,0,-1103,139,0,-88,4,0,0,1,85,12,61,4,0,0,100,90,1202,0,0,999,993,80,0,0
61,ace_fighter89,0,-1126,140,0,-88,4,0,0,0,85,12,61,4,0,0,100,90,1202,0,0,999,993,80,0,0
62,ace_fighter89,0,-1150,141,0,-88,4,0,0,0,85,12,61,4,0,0,100,90,1202,0,0,999,993,80,0,0
63,ace_fighter89,0,-1174,142,0,-88,4,0,0,0,85,12,62,4,0,0,100,90,1202,0,0,999,993,80,0,0
64,ace_fighter89,0,-1197,143,0,-88,4,0,0,1,85,12,62,4,0,0,100,90,1202,0,0,999,992,80,0,0
65,ace_fighter89,0,-1221,144,0,-89,4,0,0,0,85,12,62,4,0,0,100,90,1202,0,0,999,992,80,0,0
66,ace_fighter89,0,-1245,146,0,-89,3,0,0,0,85,12,62,4,0,0,100,91,1202,0,0,999,992,80,0,0
67,ace_fighter89,0,-1269,147,0,-89,3,0,0,0,85,12,62,4,0,0,100,91,1202,0,0,999,992,80,0,0
68,ace_fighter89,0,-1292,148,0,-89,3,0,0,1,85,12,62,4,0,0,100,91,1202,0,0,999,991,80,0,0
69,ace_fighter89,0,-1316,149,0,-89,3,0,0,0,85,12,63,4,0,0,100,91,1202,0,0,999,991,80,0,0
70,ace_fighter89,0,-1340,150,0,-89,3,0,0,0,85,12,63,4,0,0,100,91,1202,0,0,999,991,80,0,0
71,ace_fighter89,0,-1364,151,0,-89,3,0,0,0,85,12,63,4,0,0,100,91,1202,0,0,999,991,80,0,0
72,ace_fighter89,0,-1388,152,0,-89,3,0,0,1,85,12,63,4,0,0,100,91,1202,0,0,999,990,80,0,0
73,ace_fighter89,0,-1412,153,0,-89,3,0,0,0,85,12,63,4,0,0,100,91,1202,0,0,999,990,80,0,0
74,ace_fighter89,0,-1435,154,0,-89,3,0,0,0,85,12,64,4,0,0,100,91,1202,0,0,999,990,80,0,0
75,ace_fighter89,0,-1459,155,0,-89,3,0,0,0,85,0,64,4,0,0,100,91,1202,0,0,999,990,80,0,0
76,ace_fighter89,0,-1483,156,0,-89,3,0,0,1,85,0,64,4,0,0,100,91,1202,0,0,999,989,80,0,0
77,ace_fighter89,0,-1507,157,0,-89,3,0,0,0,85,0,64,4,0,0,100,91,1202,0,0,999,989,80,0,0
78,ace_fighter89,0,-1531,158,0,-89,3,0,0,0,85,0,64,4,0,0,100,91,1202,0,0,999,989,80,0,0
79,ace_fighter89,0,-1555,159,0,-89,3,0,0,0,85,0,65,4,0,0,100,91,1202,0,0,999,989,80,0,0
80,ace_fighter89,0,-1579,160,0,-89,3,0,0,0,85,0,65,4,0,0,100,91,1202,0,0,999,989,80,0,0
81,ace_fighter89,0,-1603,161,0,-89,3,0,0,0,85,0,65,4,0,0,100,91,1202,0,0,999,989,80,0,0
82,ace_fighter89,0,-1627,162,0,-89,3,0,0,0,85,0,65,4,0,0,100,91,1202,0,0,999,989,80,0,0
83,ace_fighter89,0,-1651,163,0,-89,3,0,0,0,85,0,65,4,0,0,100,91,1202,0,0,999,989,80,0,0
84,ace_fighter89,0,-1675,164,0,-89,3,0,0,0,85,0,65,4,0,0,100,91,1202,0,0,999,989,80,0,0
85,ace_fighter89,0,-1699,165,0,-89,3,0,0,0,85,0,66,4,0,0,100,91,1202,0,0,999,989,80,0,0
86,ace_fighter89,0,-1723,166,0,-89,3,0,0,0,85,0,66,4,0,0,100,91,1202,0,0,999,989,80,0,0
87,ace_fighter89,0,-1747,167,0,-89,3,0,0,0,85,0,66,4,0,0,100,91,1202,0,0,999,989,80,0,0
88,ace_fighter89,0,-1771,168,0,-89,3,0,0,0,85,0,66,4,0,0,100,91,1202,0,0,999,989,80,0,0
89,ace_fighter89,0,-1795,169,0,-90,3,0,0,0,85,0,66,4,0,0,100,91,1202,0,0,999,989,80,0,0
90,ace_fighter89,0,-1819,170,0,-90,3,0,0,0,85,0,67,4,0,0,100,91,1202,0,0,999,989,80,0,0
91,ace_fighter89,0,-1843,171,0,-90,3,0,0,0,85,0,67,4,0,0,100,91,1202,0,0,999,989,80,0,0
