tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat
0,battlefront_bomber89,0,18,15,0,0,56,0,0,2,5,1,50,0,0,0,20,0,0,0,0,9999,998,20,0,0,0,0,0,0,0,0,0,180,152,6
1,battlefront_bomber89,0,18,29,0,0,53,0,0,1,10,2,50,0,0,0,40,0,0,0,0,9999,998,20,0,0,0,0,0,0,0,0,0,180,144,11
2,battlefront_bomber89,0,18,42,0,0,49,0,0,1,15,3,50,1,0,0,58,0,0,0,0,9999,998,20,0,0,0,0,0,0,0,0,0,180,136,17
3,battlefront_bomber89,0,18,54,0,0,46,0,0,1,20,4,50,1,0,0,75,0,0,0,0,9999,998,20,0,0,0,0,0,0,0,0,0,180,128,23
4,battlefront_bomber89,0,18,66,0,0,44,0,0,2,25,5,50,1,0,0,91,0,0,0,0,9999,997,20,0,0,0,0,0,0,0,0,0,180,120,29
5,battlefront_bomber89,0,18,77,0,0,41,0,0,1,30,6,51,2,0,0,100,0,0,0,0,9999,997,20,0,0,0,0,0,0,0,0,0,180,112,35
6,battlefront_bomber89,0,18,88,0,0,39,0,0,1,35,7,51,2,0,0,100,0,0,0,0,9999,997,20,0,0,0,0,0,0,0,0,0,180,104,41
7,battlefront_bomber89,0,18,97,0,0,36,0,0,1,45,8,51,3,0,0,100,0,0,0,0,9999,997,20,0,0,0,0,0,0,0,0,0,180,96,47
8,battlefront_bomber89,0,18,107,0,0,34,0,0,2,55,9,51,3,0,0,100,0,0,0,0,9999,996,20,0,0,0,0,0,0,0,0,0,180,88,53
9,battlefront_bomber89,0,18,115,0,0,32,0,0,1,65,10,51,3,0,0,100,0,0,0,0,9999,996,20,0,0,0,0,0,0,0,0,0,180,80,59
10,battlefront_bomber89,0,18,124,0,0,30,0,0,1,75,11,52,4,0,0,100,0,0,0,0,9999,996,20,0,0,0,0,0,0,0,0,0,180,72,65
11,battlefront_bomber89,0,18,131,0,0,28,0,0,1,85,12,52,4,0,0,100,0,0,0,0,9999,996,20,0,0,0,0,0,0,0,0,0,180,64,71
12,battlefront_bomber89,0,18,139,0,0,27,0,0,2,95,13,52,4,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,56,77
13,battlefront_bomber89,0,18,145,0,0,25,0,0,1,105,14,52,5,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,48,83
14,battlefront_bomber89,0,18,152,0,0,24,0,0,1,115,15,52,5,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,40,89
15,battlefront_bomber89,0,18,158,0,0,22,0,0,1,130,16,53,6,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
16,battlefront_bomber89,0,18,164,0,0,21,0,0,0,145,17,53,6,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
17,battlefront_bomber89,0,18,169,0,0,20,0,0,0,160,18,53,6,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
18,battlefront_bomber89,0,18,174,0,0,19,0,0,0,175,19,53,7,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
19,battlefront_bomber89,0,18,179,0,0,18,0,0,0,190,20,53,7,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
20,battlefront_bomber89,0,18,184,0,0,17,0,0,0,205,21,53,7,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
21,battlefront_bomber89,0,18,188,0,0,16,0,0,0,220,22,54,8,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
22,battlefront_bomber89,0,18,192,0,0,15,0,0,0,235,23,54,8,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
23,battlefront_bomber89,0,18,196,0,0,14,0,0,0,255,24,54,9,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
24,battlefront_bomber89,0,18,200,0,0,13,0,0,0,275,25,54,9,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
25,battlefront_bomber89,0,18,203,0,0,13,0,0,0,295,26,54,9,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
26,battlefront_bomber89,0,18,207,0,0,12,0,0,0,315,27,55,10,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
27,battlefront_bomber89,0,18,210,0,0,11,0,0,0,315,27,55,10,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
28,battlefront_bomber89,0,18,213,0,0,11,0,0,0,315,27,55,10,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,32,95
29,battlefront_bomber89,0,18,216,0,0,10,0,0,0,315,27,55,10,0,0,100,0,0,0,0,9999,995,20,0,0,0,0,0,0,0,0,0,180,33,95
