tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat
0,comanche_voxel89,0,10,0,0,-5,0,0,0,1,0,0,50,0,0,0,0,0,0,0,5712,999,998,10,0,0,0,0,0,0,0,0,0,100,100,0
1,comanche_voxel89,0,8,0,0,-9,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7146,999,998,10,0,0,0,0,0,0,0,0,0,100,100,0
2,comanche_voxel89,0,4,0,0,-13,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7532,999,998,10,0,0,0,0,0,0,0,0,0,100,100,0
3,comanche_voxel89,0,0,0,0,-17,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7632,999,998,10,0,0,0,0,0,0,0,0,0,100,100,0
4,comanche_voxel89,0,-6,0,0,-21,0,0,0,1,0,0,50,0,0,0,0,0,0,0,7637,999,997,10,0,0,0,0,0,0,0,0,0,100,100,0
5,comanche_voxel89,0,-12,0,0,-25,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7641,999,997,10,0,0,0,0,0,0,0,0,0,100,100,0
6,comanche_voxel89,0,-20,0,0,-28,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7645,999,997,10,0,0,0,0,0,0,0,0,0,100,100,0
7,comanche_voxel89,0,-28,0,0,-31,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7649,999,997,10,0,0,0,0,0,0,0,0,0,100,100,0
8,comanche_voxel89,0,-38,1,0,-34,0,0,0,1,0,0,51,0,0,0,0,0,0,0,7653,999,996,10,0,0,0,0,0,0,0,0,0,100,100,0
9,comanche_voxel89,0,-48,1,0,-37,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7657,999,996,10,0,0,0,0,0,0,0,0,0,100,100,0
10,comanche_voxel89,0,-58,1,0,-39,0,0,0,0,0,0,52,0,0,0,0,0,0,0,7660,999,996,10,0,0,0,0,0,0,0,0,0,100,100,0
11,comanche_voxel89,0,-70,1,0,-42,0,0,0,0,0,0,52,0,0,0,0,0,0,0,7663,999,996,10,0,0,0,0,0,0,0,0,0,100,100,0
12,comanche_voxel89,0,-81,2,0,-44,0,0,0,1,0,0,52,0,0,0,0,0,0,0,7666,999,995,10,0,0,0,0,0,0,0,0,0,100,100,0
13,comanche_voxel89,0,-94,2,0,-46,1,0,0,0,0,0,52,0,0,0,0,0,0,0,7669,999,995,10,0,0,0,0,0,0,0,0,0,100,100,0
14,comanche_voxel89,0,-107,2,0,-48,1,0,0,0,0,0,52,0,0,0,0,0,0,0,7671,999,995,10,0,0,0,0,0,0,0,0,0,100,100,0
15,comanche_voxel89,0,-120,2,0,-50,1,0,0,0,0,0,53,0,0,0,0,0,0,0,7673,999,995,10,0,0,0,0,0,0,0,0,0,100,100,0
