tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker
0,daytona89,0,1,0,0,-2,0,0,2,0,0,0,50,0,0,0,0
1,daytona89,0,0,0,0,-2,0,0,4,0,0,0,50,0,0,0,0
2,daytona89,0,0,0,0,-2,0,0,4,0,0,0,50,0,0,0,0
3,daytona89,0,0,0,0,-1,0,0,4,0,0,0,50,0,0,0,1
4,daytona89,0,0,0,0,-1,0,0,4,0,0,0,50,0,0,0,2
5,daytona89,0,0,0,0,0,0,0,4,0,0,0,51,0,0,0,2
6,daytona89,0,-1,0,0,0,0,0,4,0,0,0,51,0,0,0,2
7,daytona89,0,-1,0,0,0,0,0,4,0,0,0,51,0,0,0,2
8,daytona89,0,-1,0,0,0,0,0,4,0,0,0,51,0,0,0,2
9,daytona89,0,-1,1,0,0,0,0,4,0,0,0,51,0,0,0,2
10,daytona89,0,0,1,0,0,0,0,4,0,0,0,52,0,0,0,2
11,daytona89,0,0,1,0,0,0,0,4,0,1,0,52,0,0,0,2
12,daytona89,0,0,1,0,1,0,0,4,0,2,0,52,0,0,0,2
13,daytona89,0,0,1,0,1,0,0,4,0,3,0,52,0,0,0,2
14,daytona89,0,0,2,0,1,0,0,4,0,4,0,52,0,0,0,2
15,daytona89,0,0,2,0,1,0,0,4,0,5,0,53,0,0,0,2
16,daytona89,0,1,2,0,1,1,0,4,0,6,0,53,0,0,0,2
17,daytona89,0,1,3,0,1,1,0,4,0,7,0,53,0,0,0,2
18,daytona89,0,1,3,0,-1,1,0,2,0,7,0,53,0,0,0,7
19,daytona89,0,0,3,0,-3,1,0,2,0,7,0,53,0,0,0,7
20,daytona89,0,0,3,0,-3,1,0,4,0,8,0,53,0,0,0,7
21,daytona89,0,-1,4,0,-2,1,0,4,0,9,0,54,0,0,0,7
22,daytona89,0,-2,4,0,-2,1,0,4,0,10,0,54,0,0,0,8
23,daytona89,0,-2,4,0,-2,1,0,4,0,11,0,54,0,0,0,9
24,daytona89,0,-3,5,0,-1,1,0,4,0,12,0,54,0,0,0,11
25,daytona89,0,-3,5,0,-1,1,0,4,0,12,0,54,0,0,0,13
26,daytona89,0,-3,5,0,0,1,0,4,0,12,0,55,0,0,0,15
27,daytona89,0,-3,5,0,0,1,0,4,0,12,0,55,0,0,0,16
28,daytona89,0,-3,6,0,0,1,0,4,0,12,0,55,0,0,0,18
