tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker
0,gt_sport89,0,1,0,0,-2,0,0,2,0,0,0,50,0,0,0,0
1,gt_sport89,0,0,0,0,-2,0,0,4,0,0,0,50,0,0,0,0
2,gt_sport89,0,0,0,0,-1,0,0,4,0,0,0,50,0,0,0,0
3,gt_sport89,0,0,0,0,-1,0,0,4,0,0,0,50,0,0,0,1
4,gt_sport89,0,0,0,0,0,0,0,4,0,0,0,50,0,0,0,2
5,gt_sport89,0,0,0,0,0,0,0,4,0,0,0,51,0,0,0,2
6,gt_sport89,0,0,0,0,0,0,0,4,0,0,0,51,0,0,0,2
7,gt_sport89,0,0,0,0,0,0,0,4,0,0,0,51,0,0,0,2
8,gt_sport89,0,0,0,0,1,0,0,4,0,0,0,51,0,0,0,2
9,gt_sport89,0,0,0,0,1,0,0,4,0,0,0,51,0,0,0,2
10,gt_sport89,0,1,0,0,1,0,0,4,0,0,0,52,0,0,0,2
11,gt_sport89,0,1,0,0,2,0,0,4,0,0,0,52,0,0,0,2
12,gt_sport89,0,1,0,0,0,0,0,2,0,0,0,52,0,0,0,7
13,gt_sport89,0,0,0,0,-3,0,0,2,0,0,0,52,0,0,0,7
14,gt_sport89,0,0,0,0,-2,0,0,4,0,1,0,52,0,0,0,7
15,gt_sport89,0,0,1,0,-2,0,0,4,0,2,0,53,0,0,0,8
16,gt_sport89,0,-1,1,0,-1,0,0,4,0,3,0,53,0,0,0,10
17,gt_sport89,0,-1,1,0,-1,0,0,4,0,4,0,53,0,0,0,13
18,gt_sport89,0,-1,1,0,0,0,0,4,0,4,0,53,0,0,0,15
19,gt_sport89,0,-1,1,0,0,0,0,4,0,4,0,53,0,0,0,18
20,gt_sport89,0,-1,1,0,0,0,0,4,0,4,0,53,0,0,0,18
21,gt_sport89,0,-1,1,0,0,0,0,4,0,4,0,54,0,0,0,18
22,gt_sport89,0,-1,1,0,1,0,0,4,0,5,0,54,0,0,0,18
23,gt_sport89,0,0,1,0,1,0,0,4,0,6,0,54,0,0,0,18
24,gt_sport89,0,0,2,0,1,0,0,4,0,7,0,54,0,0,0,18
25,gt_sport89,0,0,2,0,0,0,0,2,0,7,0,54,0,0,0,22
26,gt_sport89,0,0,2,0,0,0,0,4,0,7,0,55,0,0,0,24
27,gt_sport89,0,0,2,0,0,0,0,4,0,7,0,55,0,0,0,26
28,gt_sport89,0,0,2,0,0,0,0,4,0,7,0,55,0,0,0,27
29,gt_sport89,0,0,2,0,0,0,0,4,0,7,0,55,0,0,0,27
30,gt_sport89,0,0,2,0,0,0,0,4,0,7,0,55,0,0,0,27
31,gt_sport89,0,0,3,0,1,0,0,4,0,7,0,56,0,0,0,27
32,gt_sport89,0,0,3,0,1,0,0,4,0,8,0,56,0,0,0,27
33,gt_sport89,0,0,3,0,-1,0,0,2,0,8,0,56,0,0,0,27
34,gt_sport89,0,0,3,0,0,0,0,4,0,9,0,56,0,0,0,30
35,gt_sport89,0,0,3,0,0,0,0,4,0,9,0,56,0,0,0,32
36,gt_sport89,0,0,3,0,0,0,0,4,0,9,0,56,0,0,0,35
37,gt_sport89,0,0,4,0,0,0,0,4,0,9,0,57,0,0,0,36
38,gt_sport89,0,0,4,0,0,0,0,4,0,9,0,57,0,0,0,36
39,gt_sport89,0,0,4,0,0,0,0,4,0,9,0,57,0,0,0,36
40,gt_sport89,0,0,4,0,1,0,0,4,0,10,0,57,0,0,0,36
41,gt_sport89,0,0,4,0,-1,0,0,2,0,10,0,57,0,0,0,36
42,gt_sport89,0,-1,4,0,-3,0,0,2,0,10,0,58,0,0,0,36
43,gt_sport89,0,-2,4,0,-3,0,0,4,0,11,0,58,0,0,0,39
44,gt_sport89,0,-2,5,0,-2,0,0,4,0,12,0,58,0,0,0,44
45,gt_sport89,0,-3,5,0,-1,0,0,4,0,13,0,58,0,0,0,47
46,gt_sport89,0,-3,5,0,-1,0,0,4,0,14,0,58,0,0,0,51
47,gt_sport89,0,-3,5,0,0,0,0,4,0,14,0,59,0,0,0,55
48,gt_sport89,0,-3,5,0,0,0,0,4,0,14,0,59,0,0,0,58
49,gt_sport89,0,-3,5,0,0,0,0,4,0,14,0,59,0,0,0,59
50,gt_sport89,0,-3,6,0,0,0,0,4,0,14,0,59,0,0,0,59
51,gt_sport89,0,-3,6,0,1,0,0,4,0,15,0,59,0,0,0,59
52,gt_sport89,0,-2,6,0,1,0,0,4,0,16,0,59,0,0,0,59
53,gt_sport89,0,-2,6,0,1,0,0,4,0,17,0,60,0,0,0,59
54,gt_sport89,0,-1,6,0,2,0,0,4,0,18,0,60,0,0,0,59
55,gt_sport89,0,-1,6,0,2,0,0,4,0,19,0,60,0,0,0,59
56,gt_sport89,0,0,7,0,2,0,0,4,0,20,0,60,0,0,0,59
57,gt_sport89,0,0,7,0,3,0,0,4,0,21,0,60,0,0,0,59
58,gt_sport89,0,0,7,0,0,0,0,2,0,21,0,61,0,0,0,76
59,gt_sport89,0,0,7,0,-2,0,0,2,0,21,0,61,0,0,0,76
60,gt_sport89,0,-1,7,0,-4,0,0,2,0,21,0,61,0,0,0,76
61,gt_sport89,0,-2,7,0,-3,0,0,4,0,22,0,61,0,0,0,80
62,gt_sport89,0,-3,7,0,-3,0,0,4,0,23,0,61,0,0,0,84
63,gt_sport89,0,-3,8,0,-2,0,0,4,0,24,0,62,0,0,0,88
64,gt_sport89,0,-4,8,0,-1,0,0,4,0,25,0,62,0,0,0,92
65,gt_sport89,0,-4,8,0,-1,0,0,4,0,26,0,62,0,0,0,96
66,gt_sport89,0,-4,8,0,0,0,0,4,0,26,0,62,0,0,0,99
67,gt_sport89,0,-4,8,0,0,0,0,4,0,26,0,62,0,0,0,100
68,gt_sport89,0,-4,8,0,0,0,0,4,0,26,0,62,0,0,0,100
69,gt_sport89,0,-4,9,0,0,0,0,4,0,26,0,63,0,0,0,100
70,gt_sport89,0,-4,9,0,1,0,0,4,0,27,0,63,0,0,0,100
71,gt_sport89,0,-3,9,0,1,0,0,4,0,28,0,63,0,0,0,100
72,gt_sport89,0,-3,9,0,1,0,0,4,0,29,0,63,0,0,0,100
73,gt_sport89,0,-2,9,0,2,0,0,4,0,30,0,63,0,0,0,100
74,gt_sport89,0,-2,9,0,2,0,0,4,0,31,0,64,0,0,0,100
75,gt_sport89,0,-1,10,0,2,0,0,4,0,32,0,64,0,0,0,100
76,gt_sport89,0,0,10,0,3,0,0,4,0,33,0,64,0,0,0,100
77,gt_sport89,0,0,10,0,3,0,0,4,0,34,0,64,0,0,0,100
78,gt_sport89,0,0,10,0,0,0,0,2,0,34,0,64,0,0,0,100
79,gt_sport89,0,0,10,0,-1,0,0,2,0,34,0,65,0,0,0,100
80,gt_sport89,0,-1,10,0,-4,0,0,2,0,34,0,65,0,0,0,100
81,gt_sport89,0,-2,11,0,-3,0,0,4,0,35,0,65,0,0,0,100
82,gt_sport89,0,-2,11,0,-3,0,0,4,0,36,0,65,0,0,0,100
83,gt_sport89,0,-3,11,0,-2,0,0,4,0,37,0,65,0,0,0,100
84,gt_sport89,0,-3,11,0,-1,0,0,4,0,38,0,65,0,0,0,100
85,gt_sport89,0,-4,11,0,-1,0,0,4,0,39,0,66,0,0,0,100
86,gt_sport89,0,-4,11,0,0,0,0,4,0,39,0,66,0,0,0,100
87,gt_sport89,0,-4,12,0,0,0,0,4,0,39,0,66,0,0,0,100
88,gt_sport89,0,-4,12,0,0,0,0,4,0,39,0,66,0,0,0,100
89,gt_sport89,0,-4,12,0,0,0,0,4,0,39,0,66,0,0,0,100
90,gt_sport89,0,-3,12,0,1,0,0,4,0,40,0,67,0,0,0,100
91,gt_sport89,0,-3,12,0,1,0,0,4,0,41,0,67,0,0,0,100
92,gt_sport89,0,-2,12,0,2,0,0,4,0,42,0,67,0,0,0,100
93,gt_sport89,0,-2,12,0,2,0,0,4,0,43,0,67,0,0,0,100
94,gt_sport89,0,-1,13,0,2,0,0,4,0,44,0,67,0,0,0,100
95,gt_sport89,0,0,13,0,3,0,0,4,0,45,0,68,0,0,0,100
96,gt_sport89,0,0,13,0,3,0,0,4,0,46,0,68,0,0,0,100
97,gt_sport89,0,0,13,0,0,0,0,2,0,46,0,68,0,0,0,100
98,gt_sport89,0,0,13,0,-2,0,0,2,0,46,0,68,0,0,0,100
99,gt_sport89,0,-1,13,0,-4,0,0,2,0,46,0,68,0,0,0,100
100,gt_sport89,0,-2,14,0,-3,0,0,4,0,47,0,68,0,0,0,100
101,gt_sport89,0,-3,14,0,-3,0,0,4,0,48,0,69,0,0,0,100
102,gt_sport89,0,-3,14,0,-2,0,0,4,0,49,0,69,0,0,0,100
103,gt_sport89,0,-4,14,0,-1,0,0,4,0,50,0,69,0,0,0,100
104,gt_sport89,0,-4,14,0,-1,0,0,4,0,51,0,69,0,0,0,100
105,gt_sport89,0,-4,14,0,0,0,0,4,0,51,0,69,0,0,0,100
106,gt_sport89,0,-4,15,0,0,0,0,4,0,51,0,70,0,0,0,100
107,gt_sport89,0,-4,15,0,0,0,0,4,0,51,0,70,0,0,0,100
108,gt_sport89,0,-4,15,0,0,0,0,4,0,51,0,70,0,0,0,100
109,gt_sport89,0,-4,15,0,1,0,0,4,0,52,0,70,0,0,0,100
110,gt_sport89,0,-3,15,0,1,0,0,4,0,53,0,70,0,0,0,100
111,gt_sport89,0,-3,15,0,2,0,0,4,0,54,0,71,0,0,0,100
112,gt_sport89,0,-2,16,0,2,0,0,4,0,55,0,71,0,0,0,100
113,gt_sport89,0,-1,16,0,2,0,0,4,0,56,0,71,0,0,0,100
114,gt_sport89,0,-1,16,0,3,0,0,4,0,57,0,71,0,0,0,100
115,gt_sport89,0,0,16,0,3,0,0,4,0,58,0,71,0,0,0,100
116,gt_sport89,0,0,16,0,0,0,0,2,0,58,0,71,0,0,0,100
117,gt_sport89,0,0,16,0,-2,0,0,2,0,58,0,72,0,0,0,100
118,gt_sport89,0,-1,17,0,-1,0,0,4,0,59,0,72,0,0,0,100
119,gt_sport89,0,-1,17,0,-1,0,0,4,0,60,0,72,0,0,0,100
120,gt_sport89,0,-1,17,0,0,0,0,4,0,60,0,72,0,0,0,100
121,gt_sport89,0,-1,17,0,0,0,0,4,0,60,0,72,0,0,0,100
122,gt_sport89,0,-1,17,0,0,0,0,4,0,60,0,73,0,0,0,100
123,gt_sport89,0,-1,17,0,0,0,0,4,0,60,0,73,0,0,0,100
124,gt_sport89,0,-1,17,0,1,0,0,4,0,61,0,73,0,0,0,100
125,gt_sport89,0,0,18,0,1,0,0,4,0,62,0,73,0,0,0,100
126,gt_sport89,0,0,18,0,1,0,0,4,0,63,0,73,0,0,0,100
127,gt_sport89,0,0,18,0,1,0,0,4,0,64,0,74,0,0,0,100
128,gt_sport89,0,0,18,0,0,0,0,3,0,64,0,74,0,0,0,100
129,gt_sport89,0,0,18,0,0,0,0,3,0,64,0,74,0,0,0,100
130,gt_sport89,0,0,18,0,-1,0,0,3,0,65,0,74,0,0,0,100
131,gt_sport89,0,0,19,0,-1,0,0,4,0,66,0,74,0,0,0,100
132,gt_sport89,0,0,19,0,0,0,0,4,0,66,0,74,0,0,0,100
133,gt_sport89,0,0,19,0,0,0,0,4,0,66,0,75,0,0,0,100
134,gt_sport89,0,0,19,0,0,0,0,4,0,66,0,75,0,0,0,100
135,gt_sport89,0,0,19,0,0,0,0,4,0,66,0,75,0,0,0,100
136,gt_sport89,0,0,19,0,0,0,0,4,0,66,0,75,0,0,0,100
137,gt_sport89,0,0,20,0,1,0,0,4,0,66,0,75,0,0,0,100
138,gt_sport89,1,0,20,0,0,0,0,3,0,66,0,76,0,0,0,100
139,gt_sport89,1,0,20,0,-1,0,0,3,0,67,0,76,0,0,0,100
140,gt_sport89,1,0,20,0,0,0,0,4,0,67,0,76,0,0,0,100
141,gt_sport89,1,0,20,0,0,0,0,4,0,67,0,76,0,0,0,100
142,gt_sport89,1,0,20,0,0,0,0,4,0,67,0,76,0,0,0,100
143,gt_sport89,1,0,21,0,0,0,0,4,0,67,0,77,0,0,0,100
144,gt_sport89,1,0,21,0,0,0,0,4,0,67,0,77,0,0,0,100
145,gt_sport89,1,0,21,0,1,0,0,4,0,67,0,77,0,0,0,100
146,gt_sport89,1,0,21,0,1,0,0,4,0,68,0,77,0,0,0,100
147,gt_sport89,1,0,21,0,1,0,0,4,0,69,0,77,0,0,0,100
148,gt_sport89,1,0,22,0,0,0,0,3,0,69,0,77,0,0,0,100
149,gt_sport89,1,0,22,0,-2,0,0,2,0,69,0,78,0,0,0,100
150,gt_sport89,1,0,22,0,-1,0,0,4,1,70,0,77,0,0,0,100
151,gt_sport89,1,0,22,0,0,0,0,4,0,70,0,77,0,0,0,100
152,gt_sport89,1,0,22,0,0,0,0,4,0,70,0,77,0,0,0,100
153,gt_sport89,1,0,22,0,0,0,0,4,0,70,0,77,0,0,0,100
154,gt_sport89,1,0,22,0,0,0,0,4,0,70,0,78,0,0,0,100
155,gt_sport89,1,0,23,0,0,0,0,4,0,70,0,78,0,0,0,100
156,gt_sport89,1,0,23,0,1,0,0,4,0,70,0,78,0,0,0,100
157,gt_sport89,1,0,23,0,0,0,0,3,0,70,0,78,0,0,0,100
158,gt_sport89,1,0,23,0,0,0,0,4,0,70,0,78,0,0,0,100
159,gt_sport89,1,0,23,0,0,0,0,3,0,71,0,79,0,0,0,100
160,gt_sport89,1,0,23,0,0,0,0,4,0,71,0,79,0,0,0,100
161,gt_sport89,1,0,23,0,0,0,0,4,0,71,0,79,0,0,0,100
162,gt_sport89,1,0,24,0,0,0,0,4,0,71,0,79,0,0,0,100
163,gt_sport89,1,0,24,0,0,0,0,4,0,71,0,79,0,0,0,100
164,gt_sport89,1,0,24,0,0,0,0,4,0,71,0,79,0,0,0,100
165,gt_sport89,1,0,24,0,1,0,0,4,0,71,0,80,0,0,0,100
166,gt_sport89,1,0,24,0,1,0,0,4,0,72,0,80,0,0,0,100
167,gt_sport89,1,0,24,0,0,0,0,3,0,72,0,80,0,0,0,100
168,gt_sport89,1,0,25,0,-1,0,0,3,0,73,0,80,0,0,0,100
169,gt_sport89,1,0,25,0,0,0,0,4,0,73,0,80,0,0,0,100
170,gt_sport89,1,0,25,0,0,0,0,4,0,73,0,81,0,0,0,100
171,gt_sport89,1,0,25,0,0,0,0,4,0,73,0,81,0,0,0,100
172,gt_sport89,1,0,25,0,0,0,0,4,0,73,0,81,0,0,0,100
173,gt_sport89,1,0,25,0,0,0,0,4,0,73,0,81,0,0,0,100
174,gt_sport89,1,0,25,0,0,0,0,3,0,73,0,81,0,0,0,100
175,gt_sport89,1,0,26,0,0,0,0,4,0,73,0,82,0,0,0,100
176,gt_sport89,1,0,26,0,0,0,0,4,0,73,0,82,0,0,0,100
177,gt_sport89,1,0,26,0,0,0,0,4,0,73,0,82,0,0,0,100
178,gt_sport89,1,0,26,0,0,0,0,3,0,73,0,82,0,0,0,100
179,gt_sport89,1,0,26,0,0,0,0,4,0,73,0,82,0,0,0,100
180,gt_sport89,1,0,26,0,0,0,0,4,0,73,0,82,0,0,0,100
181,gt_sport89,1,0,27,0,0,0,0,4,0,73,0,83,0,0,0,100
182,gt_sport89,1,0,27,0,0,0,0,4,0,73,0,83,0,0,0,100
183,gt_sport89,1,0,27,0,0,0,0,4,0,73,0,83,0,0,0,100
184,gt_sport89,1,0,27,0,1,0,0,4,0,73,0,83,0,0,0,100
185,gt_sport89,1,0,27,0,0,0,0,3,0,73,0,83,0,0,0,100
186,gt_sport89,1,0,27,0,-1,0,0,3,0,74,0,84,0,0,0,100
187,gt_sport89,1,0,28,0,0,0,0,4,0,74,0,84,0,0,0,100
188,gt_sport89,1,0,28,0,0,0,0,4,0,74,0,84,0,0,0,100
189,gt_sport89,1,0,28,0,0,0,0,4,0,74,0,84,0,0,0,100
190,gt_sport89,1,0,28,0,0,0,0,4,0,74,0,84,0,0,0,100
191,gt_sport89,1,0,28,0,0,0,0,4,0,74,0,85,0,0,0,100
192,gt_sport89,1,0,28,0,0,0,0,4,0,74,0,85,0,0,0,100
193,gt_sport89,1,0,29,0,0,0,0,3,0,74,0,85,0,0,0,100
194,gt_sport89,1,0,29,0,-1,0,0,3,0,75,0,85,0,0,0,100
195,gt_sport89,1,0,29,0,0,0,0,4,0,76,0,85,0,0,0,100
196,gt_sport89,1,-1,29,0,0,0,0,4,0,76,0,85,0,0,0,100
197,gt_sport89,2,-1,29,0,0,0,0,4,0,76,0,86,0,0,0,100
198,gt_sport89,2,-1,29,0,0,0,0,4,0,76,0,86,0,0,0,100
199,gt_sport89,2,0,30,0,0,0,0,4,0,76,0,86,0,0,0,100
200,gt_sport89,2,0,30,0,1,0,0,4,0,76,0,86,0,0,0,100
201,gt_sport89,2,0,30,0,1,0,0,4,0,77,0,86,0,0,0,100
202,gt_sport89,2,0,30,0,1,0,0,4,0,78,0,87,0,0,0,100
203,gt_sport89,2,0,30,0,0,0,0,3,0,78,0,87,0,0,0,100
204,gt_sport89,2,0,30,0,0,0,0,3,0,78,0,87,0,0,0,100
205,gt_sport89,2,0,31,0,0,0,0,4,0,78,0,87,0,0,0,100
206,gt_sport89,2,0,31,0,0,0,0,4,0,78,0,87,0,0,0,100
207,gt_sport89,2,0,31,0,0,0,0,4,0,78,0,88,0,0,0,100
208,gt_sport89,2,0,31,0,0,0,0,3,0,79,0,88,0,0,0,100
209,gt_sport89,2,0,31,0,0,0,0,4,0,79,0,88,0,0,0,100
210,gt_sport89,2,0,31,0,0,0,0,4,0,79,0,88,0,0,0,100
211,gt_sport89,2,0,32,0,0,0,0,4,0,79,0,88,0,0,0,100
212,gt_sport89,2,0,32,0,0,0,0,4,0,79,0,88,0,0,0,100
213,gt_sport89,2,0,32,0,0,0,0,4,0,79,0,89,0,0,0,100
214,gt_sport89,2,0,32,0,0,0,0,3,0,79,0,89,0,0,0,100
215,gt_sport89,2,0,32,0,0,0,0,4,0,79,0,89,0,0,0,100
216,gt_sport89,2,0,32,0,0,0,0,4,0,79,0,89,0,0,0,100
217,gt_sport89,2,0,33,0,0,0,0,4,0,79,0,89,0,0,0,100
218,gt_sport89,2,0,33,0,0,0,0,3,0,79,0,90,0,0,0,100
219,gt_sport89,2,0,33,0,0,0,0,4,0,79,0,90,0,0,0,100
220,gt_sport89,2,0,33,0,0,0,0,4,0,79,0,90,0,0,0,100
221,gt_sport89,2,0,33,0,0,0,0,4,0,79,0,90,0,0,0,100
222,gt_sport89,2,0,33,0,0,0,0,4,0,79,0,90,0,0,0,100
223,gt_sport89,2,0,34,0,0,0,0,4,0,79,0,91,0,0,0,100
224,gt_sport89,2,0,34,0,0,0,0,3,0,79,0,91,0,0,0,100
225,gt_sport89,2,0,34,0,0,0,0,4,0,79,0,91,0,0,0,100
226,gt_sport89,2,0,34,0,-1,0,0,3,0,80,0,91,0,0,0,100
227,gt_sport89,2,0,34,0,0,0,0,4,0,80,0,91,0,0,0,100
228,gt_sport89,2,0,34,0,0,0,0,4,0,80,0,91,0,0,0,100
229,gt_sport89,2,0,35,0,0,0,0,4,0,80,0,92,0,0,0,100
230,gt_sport89,2,0,35,0,0,0,0,4,0,80,0,92,0,0,0,100
231,gt_sport89,2,0,35,0,0,0,0,4,0,80,0,92,0,0,0,100
232,gt_sport89,2,0,35,0,0,0,0,3,0,80,0,92,0,0,0,100
233,gt_sport89,2,0,35,0,0,0,0,4,0,80,0,92,0,0,0,100
234,gt_sport89,2,0,35,0,0,0,0,4,0,80,0,93,0,0,0,100
235,gt_sport89,2,0,36,0,0,0,0,4,0,80,0,93,0,0,0,100
236,gt_sport89,2,0,36,0,0,0,0,4,0,80,0,93,0,0,0,100
237,gt_sport89,2,0,36,0,0,0,0,3,0,80,0,93,0,0,0,100
238,gt_sport89,2,0,36,0,0,0,0,4,0,80,0,93,0,0,0,100
