tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat
0,tie_interceptor89,0,18,15,0,0,56,0,0,2,5,1,50,0,0,0,20,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,0,92,6
1,tie_interceptor89,0,18,29,0,0,53,0,0,1,10,2,50,0,0,0,39,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,0,84,11
2,tie_interceptor89,0,18,42,0,0,50,0,0,1,15,3,50,1,0,0,57,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,0,76,17
3,tie_interceptor89,0,18,55,0,0,47,0,0,1,20,4,50,1,0,0,74,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,0,68,23
4,tie_interceptor89,0,18,66,0,0,44,0,0,2,25,5,50,1,0,0,89,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,0,60,29
5,tie_interceptor89,0,18,78,0,0,41,0,0,1,30,6,51,2,0,0,100,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,0,52,35
6,tie_interceptor89,0,18,88,0,0,39,0,0,1,35,7,51,2,0,0,100,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,0,44,41
7,tie_interceptor89,0,18,98,0,0,37,0,0,1,45,8,51,3,0,0,100,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,0,36,47
8,tie_interceptor89,0,18,108,0,0,35,0,0,2,55,9,51,3,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,0,28,53
9,tie_interceptor89,0,18,116,0,0,33,0,0,1,65,10,51,3,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,0,20,59
10,tie_interceptor89,0,18,125,0,0,31,0,0,1,75,11,52,4,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,0,12,65
11,tie_interceptor89,0,18,133,0,0,29,0,0,1,85,12,52,4,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,0,4,71
12,tie_interceptor89,0,18,140,0,0,28,0,0,1,95,13,52,4,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
13,tie_interceptor89,0,18,147,0,0,26,0,0,0,105,14,52,5,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
14,tie_interceptor89,0,18,154,0,0,25,0,0,0,115,15,52,5,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
15,tie_interceptor89,0,18,160,0,0,23,0,0,0,130,16,53,6,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
16,tie_interceptor89,0,18,166,0,0,22,0,0,0,145,17,53,6,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
17,tie_interceptor89,0,18,172,0,0,21,0,0,0,160,18,53,6,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
18,tie_interceptor89,0,18,177,0,0,20,0,0,0,175,19,53,7,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
19,tie_interceptor89,0,18,182,0,0,19,0,0,0,190,20,53,7,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
20,tie_interceptor89,0,18,187,0,0,18,0,0,0,205,21,53,7,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
21,tie_interceptor89,0,18,192,0,0,17,0,0,0,220,22,54,8,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
22,tie_interceptor89,0,18,196,0,0,16,0,0,0,235,23,54,8,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
23,tie_interceptor89,0,18,200,0,0,15,0,0,0,255,24,54,9,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
24,tie_interceptor89,0,18,204,0,0,14,0,0,0,275,25,54,9,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
25,tie_interceptor89,0,18,208,0,0,14,0,0,0,295,26,54,9,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
26,tie_interceptor89,0,18,212,0,0,13,0,0,0,315,27,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
27,tie_interceptor89,0,18,215,0,0,12,0,0,0,335,28,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
28,tie_interceptor89,0,18,218,0,0,12,0,0,0,335,28,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,4,71
29,tie_interceptor89,0,18,222,0,0,11,0,0,0,335,28,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,5,71
30,tie_interceptor89,0,18,225,0,0,11,0,0,0,335,28,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,5,71
31,tie_interceptor89,0,18,228,0,0,10,0,0,0,335,28,56,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,5,71
32,tie_interceptor89,0,18,230,0,0,10,0,0,0,335,28,56,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,5,71
33,tie_interceptor89,0,18,233,0,0,9,0,0,0,335,28,56,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,0,5,71
34,tie_interceptor89,0,18,236,0,0,9,0,0,1,335,28,56,10,0,0,100,0,0,0,0,9999,994,80,0,0,0,0,0,0,0,0,0,0,5,71
35,tie_interceptor89,0,18,238,0,0,9,0,0,0,335,28,56,10,0,0,100,0,0,0,0,9999,994,80,0,0,0,0,0,0,0,0,0,0,5,71
36,tie_interceptor89,0,18,240,0,0,8,0,0,0,335,28,56,10,0,0,100,0,0,0,0,9999,994,80,0,0,0,0,0,0,0,0,0,0,5,71
37,tie_interceptor89,0,18,243,0,0,8,0,0,0,335,28,57,10,0,0,100,0,0,0,0,9999,994,80,0,0,0,0,0,0,0,0,0,0,5,71
38,tie_interceptor89,0,18,245,0,0,8,0,0,1,335,28,57,10,0,0,100,0,0,0,0,9999,993,80,0,0,0,0,0,0,0,0,0,0,5,71
39,tie_interceptor89,0,18,247,0,0,7,0,0,0,335,28,57,10,0,0,100,0,0,0,0,9999,993,80,0,0,0,0,0,0,0,0,0,0,5,71
40,tie_interceptor89,0,18,249,0,0,7,0,0,0,335,28,57,10,0,0,100,0,0,0,0,9999,993,80,0,0,0,0,0,0,0,0,0,0,5,71
41,tie_interceptor89,0,18,251,0,0,7,0,0,0,335,28,57,10,0,0,100,0,0,0,0,9999,993,80,0,0,0,0,0,0,0,0,0,0,5,71
42,tie_interceptor89,0,18,253,0,0,7,0,0,1,335,28,58,10,0,0,100,0,0,0,0,9999,992,80,0,0,0,0,0,0,0,0,0,0,5,71
43,tie_interceptor89,0,18,255,0,0,7,0,0,0,335,28,58,10,0,0,100,0,0,0,0,9999,992,80,0,0,0,0,0,0,0,0,0,0,5,71
44,tie_interceptor89,0,18,257,0,0,6,0,0,0,335,28,58,10,0,0,100,0,0,0,0,9999,992,80,0,0,0,0,0,0,0,0,0,0,5,71
45,tie_interceptor89,0,18,258,0,0,6,0,0,0,335,28,58,10,0,0,100,0,0,0,0,9999,992,80,0,0,0,0,0,0,0,0,0,0,5,71
46,tie_interceptor89,0,18,260,0,0,6,0,0,1,335,28,58,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
47,tie_interceptor89,0,18,262,0,0,6,0,0,0,335,28,59,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
48,tie_interceptor89,0,18,263,0,0,6,0,0,0,335,28,59,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
49,tie_interceptor89,0,18,265,0,0,5,0,0,0,335,28,59,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
50,tie_interceptor89,0,18,267,0,0,5,0,0,0,335,28,59,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
51,tie_interceptor89,0,18,268,0,0,5,0,0,0,335,28,59,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
52,tie_interceptor89,0,18,270,0,0,5,0,0,0,335,28,59,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
53,tie_interceptor89,0,18,271,0,0,5,0,0,0,335,28,60,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
54,tie_interceptor89,0,18,272,0,0,5,0,0,0,335,28,60,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
55,tie_interceptor89,0,18,274,0,0,5,0,0,0,335,28,60,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
56,tie_interceptor89,0,18,275,0,0,5,0,0,0,335,28,60,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,5,71
57,tie_interceptor89,0,18,277,0,0,5,0,0,0,335,28,60,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,6,71
58,tie_interceptor89,0,18,278,0,0,4,0,0,0,335,28,61,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,6,71
59,tie_interceptor89,0,18,279,0,0,4,0,0,0,335,28,61,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,6,71
60,tie_interceptor89,0,18,280,0,0,4,0,0,0,335,28,61,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,6,71
61,tie_interceptor89,0,18,282,0,0,4,0,0,0,335,28,61,10,0,0,100,0,0,0,0,9999,991,80,0,0,0,0,0,0,0,0,0,0,6,71
