tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat
0,longbow_campaign89,0,10,0,0,-5,0,0,0,1,0,0,50,0,0,0,0,0,0,0,6778,99,299,16,0,0,0,0,0,0,0,0,0,100,100,0
1,longbow_campaign89,0,7,0,0,-10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7354,99,299,16,0,0,0,0,0,0,0,0,0,100,100,0
2,longbow_campaign89,0,3,0,0,-14,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7464,99,299,16,0,0,0,0,0,0,0,0,0,100,100,0
3,longbow_campaign89,0,-1,0,0,-19,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7558,99,299,16,0,0,0,0,0,0,0,0,0,100,100,0
4,longbow_campaign89,0,-7,0,0,-23,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7678,99,299,16,0,0,0,0,0,0,0,0,0,100,100,0
5,longbow_campaign89,0,-14,0,0,-27,0,0,0,1,0,0,51,0,0,0,0,0,0,0,7824,99,298,16,0,0,0,0,0,0,0,0,0,100,100,0
6,longbow_campaign89,0,-22,0,0,-30,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7994,99,298,16,0,0,0,0,0,0,0,0,0,100,100,0
7,longbow_campaign89,0,-32,0,0,-34,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8185,99,298,16,0,0,0,0,0,0,0,0,0,100,100,0
8,longbow_campaign89,0,-41,0,0,-37,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8397,99,298,16,0,0,0,0,0,0,0,0,0,100,100,0
9,longbow_campaign89,0,-52,0,0,-40,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8629,99,298,16,0,0,0,0,0,0,0,0,0,100,100,0
10,longbow_campaign89,0,-64,0,0,-42,0,0,0,1,0,0,52,0,0,0,0,0,0,0,8878,99,297,16,0,0,0,0,0,0,0,0,0,100,100,0
11,longbow_campaign89,0,-76,0,0,-45,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9144,99,297,16,0,0,0,0,0,0,0,0,0,100,100,0
12,longbow_campaign89,0,-88,0,0,-47,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9426,99,297,16,0,0,0,0,0,0,0,0,0,100,100,0
13,longbow_campaign89,0,-102,0,0,-49,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9723,99,297,16,0,0,0,0,0,0,0,0,0,100,100,0
14,longbow_campaign89,0,-116,0,0,-52,0,0,0,0,0,0,52,0,0,0,0,0,0,0,10033,99,297,16,0,0,0,0,0,0,0,0,0,100,100,0
15,longbow_campaign89,0,-130,0,0,-53,0,0,0,1,0,0,53,0,0,0,0,0,0,0,10356,99,296,16,0,0,0,0,0,0,0,0,0,100,100,0
16,longbow_campaign89,0,-145,1,0,-55,0,0,0,0,0,0,53,0,0,0,0,0,0,0,10691,99,296,16,0,0,0,0,0,0,0,0,0,100,100,0
17,longbow_campaign89,0,-160,1,0,-57,0,0,0,0,0,0,53,0,0,0,0,0,0,0,11037,99,296,16,0,0,0,0,0,0,0,0,0,100,100,0
18,longbow_campaign89,0,-176,1,0,-58,0,0,0,0,0,0,53,0,0,0,0,0,0,0,11393,99,296,16,0,0,0,0,0,0,0,0,0,100,100,0
19,longbow_campaign89,0,-192,1,0,-60,0,0,0,0,0,0,53,0,0,0,0,0,0,0,11758,99,296,16,0,0,0,0,0,0,0,0,0,100,100,0
20,longbow_campaign89,0,-208,1,0,-61,0,0,0,1,0,0,53,0,0,0,0,0,0,0,12133,99,295,16,0,0,0,0,0,0,0,0,0,100,100,0
21,longbow_campaign89,0,-225,1,0,-62,0,0,0,0,0,0,54,0,0,0,0,0,0,0,12515,99,295,16,0,0,0,0,0,0,0,0,0,100,100,0
22,longbow_campaign89,0,-242,1,0,-64,0,0,0,0,0,0,54,0,0,0,0,0,0,0,12905,99,295,16,0,0,0,0,0,0,0,0,0,100,100,0
23,longbow_campaign89,0,-260,1,0,-65,0,0,0,0,0,0,54,0,0,0,0,0,0,0,13302,99,295,16,0,0,0,0,0,0,0,0,0,100,100,0
24,longbow_campaign89,0,-277,1,0,-66,0,0,0,0,0,0,54,0,0,0,0,0,0,0,13706,99,295,16,0,0,0,0,0,0,0,0,0,100,100,0
25,longbow_campaign89,0,-295,1,0,-66,0,0,0,0,0,0,54,0,0,0,0,0,0,0,14115,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
26,longbow_campaign89,0,-313,2,0,-67,0,0,0,0,0,0,55,0,0,0,0,0,0,0,14530,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
27,longbow_campaign89,0,-331,2,0,-68,0,0,0,0,0,0,55,0,0,0,0,0,0,0,14950,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
28,longbow_campaign89,0,-350,2,0,-69,0,0,0,0,0,0,55,0,0,0,0,0,0,0,15374,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
29,longbow_campaign89,0,-368,2,0,-69,0,0,0,0,0,0,55,0,0,0,0,0,0,0,15802,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
30,longbow_campaign89,0,-387,2,0,-70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,16235,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
31,longbow_campaign89,0,-406,2,0,-70,0,0,0,0,0,0,56,0,0,0,0,0,0,0,16670,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
32,longbow_campaign89,0,-425,2,0,-71,0,0,0,0,0,0,56,0,0,0,0,0,0,0,17109,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
33,longbow_campaign89,0,-444,3,0,-71,0,0,0,0,0,0,56,0,0,0,0,0,0,0,17550,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
34,longbow_campaign89,0,-463,3,0,-71,0,0,0,0,0,0,56,0,0,0,0,0,0,0,17994,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
35,longbow_campaign89,0,-483,3,0,-72,0,0,0,0,0,0,56,0,0,0,0,0,0,0,18440,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
36,longbow_campaign89,0,-502,3,0,-72,0,0,0,0,0,0,56,0,0,0,0,0,0,0,18888,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
37,longbow_campaign89,0,-521,3,0,-72,0,0,0,0,0,0,57,0,0,0,0,0,0,0,19338,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
38,longbow_campaign89,0,-541,3,0,-73,0,0,0,0,0,0,57,0,0,0,0,0,0,0,19789,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
39,longbow_campaign89,0,-560,3,0,-73,0,0,0,0,0,0,57,0,0,0,0,0,0,0,20242,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
40,longbow_campaign89,0,-580,3,0,-73,0,0,0,0,0,0,57,0,0,0,0,0,0,0,20696,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
41,longbow_campaign89,0,-599,4,0,-73,0,0,0,0,0,0,57,0,0,0,0,0,0,0,21150,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
42,longbow_campaign89,0,-619,4,0,-73,0,0,0,0,0,0,58,0,0,0,0,0,0,0,21605,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
43,longbow_campaign89,0,-639,4,0,-73,0,0,0,0,0,0,58,0,0,0,0,0,0,0,22061,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
44,longbow_campaign89,0,-658,4,0,-73,0,0,0,0,0,0,58,0,0,0,0,0,0,0,22517,98,295,16,0,0,0,0,0,0,0,0,0,100,100,0
