tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo
0,fs_lightplane89,0,10,6,0,-5,22,0,0,0,5,1,50,0,0,0,6,24,237,0,0,99,0,0,0,0
1,fs_lightplane89,0,7,11,0,-10,21,0,0,0,10,2,50,0,0,0,12,25,238,0,0,99,0,0,0,0
2,fs_lightplane89,0,3,17,0,-15,20,0,0,0,15,3,50,1,0,0,17,27,230,0,0,99,0,0,0,0
3,fs_lightplane89,0,-2,22,0,-20,20,0,0,0,20,4,50,1,0,0,22,28,221,0,0,99,0,0,0,0
4,fs_lightplane89,0,-8,28,0,-24,19,0,0,0,25,5,50,1,0,0,26,30,213,0,0,99,0,0,0,0
5,fs_lightplane89,0,-16,32,0,-29,18,0,0,0,30,6,51,2,0,0,31,34,206,0,0,99,0,0,0,0
6,fs_lightplane89,0,-25,37,0,-32,17,0,0,0,35,7,51,2,0,0,35,38,199,0,0,99,0,0,0,0
7,fs_lightplane89,0,-35,42,0,-36,17,0,0,0,45,8,51,3,0,0,38,41,193,0,0,99,0,0,0,0
8,fs_lightplane89,0,-45,46,0,-39,16,0,0,0,55,9,51,3,0,0,42,45,188,0,0,99,0,0,0,0
9,fs_lightplane89,0,-57,51,0,-42,16,0,0,0,65,10,51,3,0,0,45,48,183,0,0,99,0,0,0,0
10,fs_lightplane89,0,-69,55,0,-45,15,0,0,0,75,11,52,4,0,0,48,50,179,0,0,99,0,0,0,0
11,fs_lightplane89,0,-82,59,0,-48,15,0,0,0,85,12,52,4,0,0,51,53,175,0,0,99,0,0,0,0
12,fs_lightplane89,0,-95,63,0,-51,14,0,0,0,95,13,52,4,0,0,54,56,172,0,0,99,0,0,0,0
13,fs_lightplane89,0,-110,66,0,-53,14,0,0,0,105,14,52,5,0,0,56,58,168,0,0,99,0,0,0,0
14,fs_lightplane89,0,-125,70,0,-55,13,0,0,0,115,15,52,5,0,0,59,60,166,0,0,99,0,0,0,0
15,fs_lightplane89,0,-140,74,0,-57,13,0,0,0,130,16,53,6,0,0,61,62,163,0,0,99,0,0,0,0
16,fs_lightplane89,0,-156,77,0,-59,12,0,0,0,145,17,53,6,0,0,63,64,160,0,0,99,0,0,0,0
17,fs_lightplane89,0,-172,80,0,-61,12,0,0,0,160,18,53,6,0,0,65,66,158,0,0,98,0,0,0,0
18,fs_lightplane89,0,-189,84,0,-63,12,0,0,0,160,18,53,7,0,0,67,67,156,0,0,98,0,0,0,0
19,fs_lightplane89,0,-207,87,0,-64,12,0,0,0,160,18,53,7,0,0,69,69,154,0,0,98,0,0,0,0
20,fs_lightplane89,0,-224,90,0,-66,11,0,0,0,160,18,53,7,0,0,70,70,153,0,0,98,0,0,0,0
21,fs_lightplane89,0,-243,93,0,-67,11,0,0,0,160,18,54,7,0,0,72,72,151,0,0,98,0,0,0,0
22,fs_lightplane89,0,-261,96,0,-69,11,0,0,0,160,18,54,7,0,0,73,73,150,0,0,98,0,0,0,0
23,fs_lightplane89,0,-280,99,0,-70,10,0,0,0,160,18,54,7,0,0,75,74,149,0,0,98,0,0,0,0
24,fs_lightplane89,0,-299,102,0,-71,10,0,0,0,160,18,54,7,0,0,76,75,147,0,0,98,0,0,0,0
25,fs_lightplane89,0,-318,105,0,-72,10,0,0,0,160,18,54,7,0,0,77,76,146,0,0,98,0,0,0,0
26,fs_lightplane89,0,-338,107,0,-73,10,0,0,0,160,18,55,7,0,0,78,77,145,0,0,98,0,0,0,0
27,fs_lightplane89,0,-358,110,0,-74,10,0,0,0,160,18,55,7,0,0,79,78,48,0,0,98,0,0,0,0
28,fs_lightplane89,0,-378,113,0,-75,10,0,0,0,160,18,55,7,0,0,80,79,48,0,0,98,0,0,0,0
29,fs_lightplane89,0,-398,115,0,-76,9,0,0,0,160,18,55,7,0,0,81,80,47,0,0,98,0,0,0,0
30,fs_lightplane89,0,-419,118,0,-76,9,0,0,0,160,18,55,7,0,0,82,81,47,0,0,98,0,0,0,0
31,fs_lightplane89,0,-439,121,0,-77,9,0,0,0,160,18,56,7,0,0,83,81,47,0,0,98,0,0,0,0
32,fs_lightplane89,0,-460,123,0,-78,9,0,0,0,160,18,56,7,0,0,83,82,47,0,0,98,0,0,0,0
33,fs_lightplane89,0,-481,126,0,-78,9,0,0,0,160,18,56,7,0,0,84,82,46,0,0,98,0,0,0,0
34,fs_lightplane89,0,-502,128,0,-79,9,0,0,0,160,18,56,7,0,0,85,83,46,0,0,97,0,0,0,0
35,fs_lightplane89,0,-524,130,0,-79,9,0,0,0,160,18,56,7,0,0,85,84,46,0,0,97,0,0,0,0
36,fs_lightplane89,0,-545,133,0,-80,9,0,0,0,160,18,56,7,0,0,86,84,46,0,0,97,0,0,0,0
37,fs_lightplane89,0,-567,135,0,-80,8,0,0,0,160,18,57,7,0,0,86,84,46,0,0,97,0,0,0,0
38,fs_lightplane89,0,-588,138,0,-81,8,0,0,0,160,18,57,7,0,0,87,85,46,0,0,97,0,0,0,0
39,fs_lightplane89,0,-610,140,0,-81,8,0,0,0,160,18,57,7,0,0,87,85,46,0,0,97,0,0,0,0
40,fs_lightplane89,0,-632,142,0,-82,8,0,0,0,160,18,57,7,0,0,88,86,45,0,0,97,0,0,0,0
41,fs_lightplane89,0,-654,145,0,-82,8,0,0,0,160,18,57,7,0,0,88,86,45,0,0,97,0,0,0,0
42,fs_lightplane89,0,-676,147,0,-82,8,0,0,0,160,18,58,7,0,0,89,86,45,0,0,97,0,0,0,0
43,fs_lightplane89,0,-698,149,0,-83,8,0,0,0,160,18,58,7,0,0,89,87,45,0,0,97,0,0,0,0
44,fs_lightplane89,0,-720,151,0,-83,8,0,0,0,160,18,58,7,0,0,89,87,45,0,0,97,0,0,0,0
45,fs_lightplane89,0,-743,154,0,-83,8,0,0,0,160,18,58,7,0,0,90,87,45,0,0,97,0,0,0,0
46,fs_lightplane89,0,-765,156,0,-83,8,0,0,0,160,18,58,7,0,0,90,87,45,0,0,97,0,0,0,0
47,fs_lightplane89,0,-788,158,0,-84,8,0,0,0,160,18,59,7,0,0,90,88,45,0,0,97,0,0,0,0
48,fs_lightplane89,0,-810,160,0,-84,8,0,0,0,160,18,59,7,0,0,90,88,45,0,0,97,0,0,0,0
49,fs_lightplane89,0,-833,162,0,-84,8,0,0,0,160,18,59,7,0,0,91,88,45,0,0,97,0,0,0,0
50,fs_lightplane89,0,-855,165,0,-84,8,0,0,0,160,18,59,7,0,0,91,88,45,0,0,97,0,0,0,0
51,fs_lightplane89,0,-878,167,0,-84,8,0,0,0,160,18,59,7,0,0,91,88,45,0,0,96,0,0,0,0
52,fs_lightplane89,0,-900,169,0,-85,8,0,0,0,160,18,59,7,0,0,91,88,45,0,0,96,0,0,0,0
53,fs_lightplane89,0,-923,171,0,-85,8,0,0,0,160,18,60,7,0,0,91,89,45,0,0,96,0,0,0,0
