tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker
0,rally89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
1,rally89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
2,rally89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
3,rally89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
4,rally89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
5,rally89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
6,rally89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
7,rally89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
8,rally89,0,1,1,0,-2,0,0,2,0,0,0,51,0,0,0,1
9,rally89,0,1,1,0,-2,0,0,4,0,0,0,51,0,0,0,2
10,rally89,0,0,1,0,-1,0,0,4,0,0,0,52,0,0,0,2
11,rally89,0,0,1,0,-1,0,0,4,0,0,0,52,0,0,0,2
12,rally89,0,0,1,0,0,0,0,4,0,0,0,52,0,0,0,2
13,rally89,0,0,2,0,0,1,0,4,0,0,0,52,0,0,0,2
14,rally89,0,0,2,0,0,1,0,4,0,0,0,52,0,0,0,2
15,rally89,0,0,2,0,0,1,0,4,0,1,0,53,0,0,0,2
16,rally89,0,0,3,0,0,1,0,4,0,2,0,53,0,0,0,2
17,rally89,0,0,3,0,0,1,0,4,0,3,0,53,0,0,0,2
18,rally89,0,0,3,0,1,1,0,4,0,4,0,53,0,0,0,2
19,rally89,0,0,4,0,1,1,0,4,0,5,0,53,0,0,0,2
20,rally89,0,1,4,0,1,1,0,4,0,6,0,53,0,0,0,2
21,rally89,0,1,4,0,1,1,0,4,0,7,0,54,0,0,0,2
22,rally89,0,2,5,0,1,1,0,4,0,8,0,54,0,0,0,2
23,rally89,0,2,5,0,-1,1,0,2,0,8,0,54,0,0,0,8
24,rally89,0,1,5,0,-3,1,0,2,0,8,0,54,0,0,0,8
25,rally89,0,0,6,0,-6,1,0,2,0,8,0,54,0,0,0,8
26,rally89,0,-1,6,0,-5,1,0,4,0,9,0,55,0,0,0,8
27,rally89,0,-3,6,0,-4,1,0,4,0,10,0,55,0,0,0,9
28,rally89,0,-4,7,0,-4,1,0,4,0,11,0,55,0,0,0,11
29,rally89,0,-5,7,0,-3,1,0,4,0,12,0,55,0,0,0,13
30,rally89,0,-5,8,0,-2,1,0,4,0,13,0,55,0,0,0,15
31,rally89,0,-6,8,0,-2,1,0,4,0,14,0,56,0,0,0,18
32,rally89,0,-7,8,0,-1,1,0,4,0,15,0,56,0,0,0,20
33,rally89,0,-7,9,0,-1,1,0,4,0,16,0,56,0,0,0,22
34,rally89,0,-7,9,0,0,1,0,4,0,17,0,56,0,0,0,24
35,rally89,0,-7,9,0,0,1,0,4,0,18,0,56,0,0,0,26
36,rally89,0,-7,10,0,0,1,0,4,0,19,0,56,0,0,0,27
37,rally89,0,-7,10,0,0,1,0,4,0,20,0,57,0,0,0,28
38,rally89,0,-7,11,0,0,1,0,4,0,21,0,57,0,0,0,30
39,rally89,0,-7,11,0,0,1,0,4,0,21,0,57,0,0,0,31
40,rally89,0,-7,12,0,1,1,0,4,0,21,0,57,0,0,0,32
41,rally89,0,-6,12,0,1,1,0,4,0,21,0,57,0,0,0,33
42,rally89,0,-6,12,0,1,1,0,4,0,21,0,58,0,0,0,34
43,rally89,0,-5,13,0,1,1,0,4,0,21,0,58,0,0,0,35
44,rally89,0,-5,13,0,2,1,0,4,0,21,0,58,0,0,0,35
45,rally89,0,-4,14,0,2,1,0,4,0,21,0,58,0,0,0,36
46,rally89,0,-3,14,0,2,1,0,4,0,21,0,58,0,0,0,36
47,rally89,0,-3,15,0,2,1,0,4,0,21,0,59,0,0,0,36
48,rally89,0,-2,15,0,2,1,0,4,0,21,0,59,0,0,0,36
49,rally89,0,-1,15,0,3,1,0,4,0,21,0,59,0,0,0,36
50,rally89,0,0,16,0,3,1,0,4,0,21,0,59,0,0,0,36
51,rally89,0,0,16,0,3,1,0,4,0,21,0,59,0,0,0,36
52,rally89,0,1,17,0,3,1,0,4,0,21,0,59,0,0,0,36
53,rally89,0,1,17,0,3,1,0,4,0,21,0,60,0,0,0,36
54,rally89,0,2,18,0,0,1,0,2,0,21,0,60,0,0,0,36
55,rally89,0,1,18,0,-2,1,0,2,0,21,0,60,0,0,0,36
56,rally89,0,0,19,0,-4,1,0,2,0,21,0,60,0,0,0,36
57,rally89,0,0,19,0,-4,1,0,4,0,22,0,60,0,0,0,40
58,rally89,0,-1,19,0,-3,1,0,4,0,23,0,61,0,0,0,46
59,rally89,0,-2,20,0,-2,1,0,4,0,24,0,61,0,0,0,52
60,rally89,0,-3,20,0,-2,1,0,4,0,25,0,61,0,0,0,57
61,rally89,0,-3,21,0,-1,1,0,4,0,25,0,61,0,0,0,62
62,rally89,0,-3,21,0,-1,1,0,4,0,25,0,61,0,0,0,66
63,rally89,0,-4,22,0,-1,1,0,4,0,25,0,62,0,0,0,66
64,rally89,0,-4,22,0,0,1,0,4,0,25,0,62,0,0,0,66
65,rally89,0,-4,22,0,0,1,0,4,0,26,0,62,0,0,0,66
66,rally89,0,-4,23,0,0,1,0,4,0,27,0,62,0,0,0,66
67,rally89,0,-4,23,0,0,1,0,4,0,28,0,62,0,0,0,66
68,rally89,0,-4,24,0,0,1,0,4,0,29,0,62,0,0,0,66
69,rally89,0,-3,24,0,1,1,0,4,0,30,0,63,0,0,0,66
70,rally89,0,-3,25,0,1,1,0,4,0,31,0,63,0,0,0,66
71,rally89,0,-2,25,0,1,1,0,4,0,32,0,63,0,0,0,66
72,rally89,0,-2,26,0,1,1,0,4,0,33,0,63,0,0,0,66
73,rally89,0,-1,26,0,2,1,0,4,0,34,0,63,0,0,0,66
74,rally89,0,-1,26,0,2,1,0,4,0,35,0,64,0,0,0,66
75,rally89,0,0,27,0,2,1,0,4,0,36,0,64,0,0,0,66
76,rally89,0,0,27,0,2,1,0,4,0,37,0,64,0,0,0,66
77,rally89,0,0,28,0,2,1,0,4,0,38,0,64,0,0,0,66
78,rally89,0,1,28,0,2,1,0,4,0,39,0,64,0,0,0,66
79,rally89,0,1,29,0,0,1,0,2,0,39,0,65,0,0,0,78
80,rally89,0,0,29,0,-2,1,0,2,0,39,0,65,0,0,0,78
81,rally89,0,0,30,0,-5,1,0,2,0,39,0,65,0,0,0,78
82,rally89,0,-1,30,0,-4,1,0,4,0,40,0,65,0,0,0,79
83,rally89,0,-2,30,0,-3,1,0,4,0,41,0,65,0,0,0,80
84,rally89,0,-3,31,0,-3,1,0,4,0,42,0,65,0,0,0,82
85,rally89,0,-4,31,0,-2,1,0,4,0,43,0,66,0,0,0,84
86,rally89,0,-5,32,0,-2,1,0,4,0,44,0,66,0,0,0,86
87,rally89,0,-5,32,0,-1,1,0,4,0,45,0,66,0,0,0,89
88,rally89,0,-5,33,0,-1,1,0,4,0,46,0,66,0,0,0,91
89,rally89,0,-6,33,0,0,1,0,4,0,47,0,66,0,0,0,93
90,rally89,0,-6,33,0,0,1,0,4,0,48,0,67,0,0,0,94
91,rally89,0,-6,34,0,0,1,0,4,0,49,0,67,0,0,0,96
92,rally89,0,-6,34,0,0,1,0,4,0,50,0,67,0,0,0,97
93,rally89,0,-6,35,0,0,1,0,4,0,51,0,67,0,0,0,98
94,rally89,0,-5,35,0,0,1,0,4,0,51,0,67,0,0,0,99
95,rally89,0,-5,36,0,1,1,0,4,0,51,0,68,0,0,0,100
96,rally89,0,-5,36,0,1,1,0,4,0,51,0,68,0,0,0,100
97,rally89,0,-4,36,0,1,1,0,4,0,51,0,68,0,0,0,100
98,rally89,0,-4,37,0,1,1,0,4,0,51,0,68,0,0,0,100
99,rally89,0,-3,37,0,2,1,0,4,0,51,0,68,0,0,0,100
100,rally89,0,-2,38,0,2,1,0,4,0,51,0,68,0,0,0,100
101,rally89,1,-2,38,0,2,1,0,4,0,51,0,69,0,0,0,100
102,rally89,1,-1,39,0,2,1,0,4,0,51,0,69,0,0,0,100
103,rally89,1,0,39,0,2,1,0,4,0,51,0,69,0,0,0,100
104,rally89,1,0,40,0,3,1,0,4,0,51,0,69,0,0,0,100
105,rally89,1,0,40,0,3,1,0,4,0,51,0,69,0,0,0,100
106,rally89,1,1,40,0,1,1,0,3,0,51,0,70,0,0,0,100
107,rally89,1,1,41,0,0,1,0,2,0,51,0,70,0,0,0,100
108,rally89,1,0,41,0,-3,1,0,2,0,51,0,70,0,0,0,100
109,rally89,1,0,42,0,-3,1,0,4,0,52,0,70,0,0,0,100
110,rally89,1,-1,42,0,-2,1,0,4,0,53,0,70,0,0,0,100
111,rally89,1,-1,43,0,-2,1,0,4,0,54,0,71,0,0,0,100
112,rally89,1,-2,43,0,-1,1,0,4,0,55,0,71,0,0,0,100
113,rally89,1,-2,43,0,-1,1,0,4,0,55,0,71,0,0,0,100
114,rally89,1,-2,44,0,0,1,0,4,0,55,0,71,0,0,0,100
115,rally89,1,-2,44,0,0,1,0,4,0,55,0,71,0,0,0,100
116,rally89,1,-2,45,0,0,1,0,4,0,55,0,71,0,0,0,100
117,rally89,2,-2,45,0,0,1,0,4,0,55,0,72,0,0,0,100
118,rally89,2,-2,46,0,0,1,0,4,0,56,0,72,0,0,0,100
119,rally89,2,-2,46,0,0,1,0,4,0,57,0,72,0,0,0,100
120,rally89,2,-2,46,0,1,1,0,4,0,58,0,72,0,0,0,100
121,rally89,2,-1,47,0,1,1,0,4,0,59,0,72,0,0,0,100
122,rally89,2,-1,47,0,1,1,0,4,0,60,0,73,0,0,0,100
123,rally89,2,0,48,0,2,1,0,4,0,61,0,73,0,0,0,100
124,rally89,2,0,48,0,2,1,0,4,0,62,0,73,0,0,0,100
125,rally89,2,0,49,0,2,1,0,4,0,63,0,73,0,0,0,100
126,rally89,2,0,49,0,0,1,0,3,0,64,0,73,0,0,0,100
127,rally89,2,0,49,0,-1,1,0,2,0,64,0,74,0,0,0,100
128,rally89,2,0,50,0,-2,1,0,3,0,65,0,74,0,0,0,100
129,rally89,2,-1,50,0,-2,1,0,4,0,66,0,74,0,0,0,100
130,rally89,2,-1,51,0,-2,1,0,4,0,67,0,74,0,0,0,100
131,rally89,2,-2,51,0,-1,1,0,4,0,68,0,74,0,0,0,100
132,rally89,3,-2,52,0,-1,1,0,4,0,68,0,74,0,0,0,100
133,rally89,3,-2,52,0,0,1,0,4,0,68,0,75,0,0,0,100
134,rally89,3,-2,52,0,0,1,0,4,0,68,0,75,0,0,0,100
135,rally89,3,-2,53,0,0,1,0,4,0,68,0,75,0,0,0,100
136,rally89,3,-2,53,0,0,1,0,4,0,68,0,75,0,0,0,100
137,rally89,3,-2,54,0,0,1,0,4,0,69,0,75,0,0,0,100
138,rally89,3,-2,54,0,1,1,0,4,0,70,0,76,0,0,0,100
139,rally89,3,-1,55,0,1,1,0,4,0,71,0,76,0,0,0,100
140,rally89,3,-1,55,0,1,1,0,4,0,72,0,76,0,0,0,100
141,rally89,3,0,56,0,2,1,0,4,1,73,0,75,0,0,0,100
142,rally89,3,0,56,0,3,2,0,4,1,74,0,74,0,0,0,100
143,rally89,3,0,57,0,2,2,0,3,1,75,0,74,0,0,0,100
144,rally89,3,0,57,0,0,2,0,2,1,75,0,73,0,0,0,100
145,rally89,3,0,58,0,-2,2,0,2,0,75,0,73,0,0,0,100
146,rally89,3,0,58,0,-2,2,0,4,0,76,0,73,0,0,0,100
147,rally89,3,0,59,0,-1,2,0,4,0,77,0,73,0,0,0,100
148,rally89,4,-1,60,0,-1,2,0,4,0,77,0,73,0,0,0,100
149,rally89,4,-1,60,0,0,2,0,4,0,77,0,74,0,0,0,100
150,rally89,4,-1,61,0,0,2,0,4,0,77,0,74,0,0,0,100
151,rally89,4,-1,61,0,0,2,0,4,0,77,0,74,0,0,0,100
152,rally89,4,-1,62,0,0,1,0,4,0,77,0,74,0,0,0,100
153,rally89,4,-1,62,0,0,1,0,4,0,78,0,74,0,0,0,100
154,rally89,4,-1,63,0,0,1,0,4,0,79,0,75,0,0,0,100
155,rally89,4,0,63,0,1,1,0,4,0,80,0,75,0,0,0,100
156,rally89,4,0,64,0,1,1,0,4,0,81,0,75,0,0,0,100
157,rally89,4,0,64,0,1,1,0,4,0,82,0,75,0,0,0,100
158,rally89,4,0,65,0,2,2,0,4,1,83,0,74,0,0,0,100
159,rally89,4,0,65,0,1,2,0,3,1,84,0,74,0,0,0,100
160,rally89,4,0,66,0,0,2,0,2,1,84,0,73,0,0,0,100
161,rally89,4,0,67,0,-3,2,0,2,0,84,0,73,0,0,0,100
162,rally89,5,0,67,0,-2,2,0,4,1,85,0,72,0,0,0,100
163,rally89,5,-1,68,0,-1,2,0,4,0,86,0,72,0,0,0,100
164,rally89,5,-1,69,0,-1,2,0,4,0,86,0,72,0,0,0,100
165,rally89,5,-1,69,0,0,2,0,4,0,86,0,73,0,0,0,100
166,rally89,5,-1,70,0,0,2,0,4,0,86,0,73,0,0,0,100
167,rally89,5,-1,70,0,0,2,0,4,0,86,0,73,0,0,0,100
168,rally89,5,-1,71,0,0,2,0,4,0,86,0,73,0,0,0,100
169,rally89,5,-1,71,0,0,2,0,4,0,87,0,73,0,0,0,100
170,rally89,5,-1,72,0,0,2,0,4,0,88,0,74,0,0,0,100
171,rally89,5,-1,73,0,1,2,0,4,0,89,0,74,0,0,0,100
172,rally89,5,0,73,0,1,2,0,4,0,90,0,74,0,0,0,100
173,rally89,5,0,74,0,2,2,0,4,1,91,0,73,0,0,0,100
174,rally89,5,0,74,0,2,2,0,4,1,92,0,72,0,0,0,100
175,rally89,6,0,75,0,0,2,0,2,1,92,0,72,0,0,0,100
176,rally89,6,0,76,0,-1,2,0,2,0,92,0,72,0,0,0,100
177,rally89,6,0,76,0,-3,2,0,3,0,93,0,72,0,0,0,100
178,rally89,6,0,77,0,-2,2,0,4,1,94,0,71,0,0,0,100
179,rally89,6,-1,77,0,-1,2,0,4,0,94,0,71,0,0,0,100
180,rally89,6,-1,78,0,-1,2,0,4,0,94,0,71,0,0,0,100
181,rally89,6,-1,79,0,0,2,0,4,0,94,0,72,0,0,0,100
182,rally89,6,-1,79,0,0,2,0,4,0,94,0,72,0,0,0,100
183,rally89,6,-1,80,0,0,2,0,4,0,94,0,72,0,0,0,100
184,rally89,6,-1,80,0,0,2,0,4,0,95,0,72,0,0,0,100
185,rally89,6,-1,81,0,0,2,0,4,0,96,0,72,0,0,0,100
186,rally89,6,-1,82,0,0,2,0,4,0,97,0,73,0,0,0,100
187,rally89,6,-1,82,0,1,2,0,4,0,98,0,73,0,0,0,100
188,rally89,6,0,83,0,1,2,0,4,0,99,0,73,0,0,0,100
189,rally89,7,0,83,0,2,2,0,4,1,100,0,72,0,0,0,100
190,rally89,7,0,84,0,2,2,0,4,1,101,0,71,0,0,0,100
191,rally89,7,0,85,0,0,2,0,2,1,101,0,71,0,0,0,100
