tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo
0,sim_heli89,0,10,0,0,-5,0,0,0,1,0,0,50,0,0,0,0,0,0,0,6778,99,299,32,0,0
1,sim_heli89,0,7,0,0,-10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7354,99,299,32,0,0
2,sim_heli89,0,3,0,0,-14,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7464,99,299,32,0,0
3,sim_heli89,0,-1,0,0,-19,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7558,99,299,32,0,0
4,sim_heli89,0,-7,0,0,-23,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7678,99,299,32,0,0
5,sim_heli89,0,-14,0,0,-27,0,0,0,1,0,0,51,0,0,0,0,0,0,0,7824,99,298,32,0,0
6,sim_heli89,0,-22,0,0,-30,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7993,99,298,32,0,0
7,sim_heli89,0,-31,0,0,-34,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8184,99,298,32,0,0
8,sim_heli89,0,-41,0,0,-37,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8396,99,298,32,0,0
9,sim_heli89,0,-52,0,0,-40,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8627,99,298,32,0,0
10,sim_heli89,0,-63,0,0,-42,0,0,0,1,0,0,52,0,0,0,0,0,0,0,8876,99,297,32,0,0
11,sim_heli89,0,-76,0,0,-45,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9142,99,297,32,0,0
12,sim_heli89,0,-88,0,0,-47,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9423,99,297,32,0,0
13,sim_heli89,0,-102,0,0,-49,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9720,99,297,32,0,0
14,sim_heli89,0,-115,0,0,-51,0,0,0,0,0,0,52,0,0,0,0,0,0,0,10029,99,297,32,0,0
15,sim_heli89,0,-130,1,0,-53,0,0,0,1,0,0,53,0,0,0,0,0,0,0,10352,99,296,32,0,0
16,sim_heli89,0,-145,1,0,-55,0,0,0,0,0,0,53,0,0,0,0,0,0,0,10686,99,296,32,0,0
17,sim_heli89,0,-160,1,0,-57,0,0,0,0,0,0,53,0,0,0,0,0,0,0,11031,99,296,32,0,0
18,sim_heli89,0,-176,1,0,-58,0,0,0,0,0,0,53,0,0,0,0,0,0,0,11387,99,296,32,0,0
19,sim_heli89,0,-192,1,0,-60,0,0,0,0,0,0,53,0,0,0,0,0,0,0,11751,99,296,32,0,0
20,sim_heli89,0,-208,1,0,-61,0,0,0,1,0,0,53,0,0,0,0,0,0,0,12125,99,295,32,0,0
21,sim_heli89,0,-225,1,0,-62,0,0,0,0,0,0,54,0,0,0,0,0,0,0,12507,99,295,32,0,0
22,sim_heli89,0,-242,1,0,-63,0,0,0,0,0,0,54,0,0,0,0,0,0,0,12896,99,295,32,0,0
23,sim_heli89,0,-259,1,0,-64,0,0,0,0,0,0,54,0,0,0,0,0,0,0,13292,99,295,32,0,0
24,sim_heli89,0,-277,2,0,-65,0,0,0,0,0,0,54,0,0,0,0,0,0,0,13694,99,295,32,0,0
25,sim_heli89,0,-294,2,0,-66,0,0,0,0,0,0,54,0,0,0,0,0,0,0,14103,99,295,32,0,0
26,sim_heli89,0,-312,2,0,-67,0,0,0,0,0,0,55,0,0,0,0,0,0,0,14516,99,295,32,0,0
27,sim_heli89,0,-331,2,0,-68,0,0,0,0,0,0,55,0,0,0,0,0,0,0,14935,99,295,32,0,0
