tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo
0,strike_chopper89,0,10,0,0,-5,0,0,0,1,0,0,50,0,0,0,0,0,0,0,6152,99,299,32,0,0
1,strike_chopper89,0,7,0,0,-10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7749,99,299,32,0,0
2,strike_chopper89,0,3,0,0,-14,0,0,0,0,0,0,50,0,0,0,0,0,0,0,8270,99,299,32,0,0
3,strike_chopper89,0,-1,0,0,-18,0,0,0,0,0,0,50,0,0,0,0,0,0,0,8531,99,299,32,0,0
4,strike_chopper89,0,-1,0,0,-1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,8735,99,299,32,0,0
5,strike_chopper89,0,-2,0,0,-4,0,0,0,1,0,0,51,0,0,0,0,0,0,0,8755,99,298,32,0,0
6,strike_chopper89,0,-3,0,0,-3,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8807,99,298,32,0,0
7,strike_chopper89,0,-4,0,0,-3,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8849,99,298,32,0,0
8,strike_chopper89,0,-5,0,0,-3,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8888,99,298,32,0,0
9,strike_chopper89,0,-6,0,0,-3,0,0,0,0,0,0,51,0,0,0,0,0,0,0,8924,99,298,32,0,0
10,strike_chopper89,0,-7,0,0,-2,0,0,0,1,0,0,52,0,0,0,0,0,0,0,8958,99,297,32,0,0
11,strike_chopper89,0,-7,1,0,-2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,8989,99,297,32,0,0
12,strike_chopper89,0,-8,1,0,-2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9018,99,297,32,0,0
13,strike_chopper89,0,-8,1,0,-2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9045,99,297,32,0,0
14,strike_chopper89,0,-9,1,0,-1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9069,99,297,32,0,0
15,strike_chopper89,0,-9,1,0,-1,0,0,0,1,0,0,53,0,0,0,0,0,0,0,9092,99,296,32,0,0
16,strike_chopper89,0,-10,1,0,-1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,9113,99,296,32,0,0
17,strike_chopper89,0,-10,2,0,-1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,9132,99,296,32,0,0
18,strike_chopper89,0,-11,2,0,-1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,9149,99,296,32,0,0
19,strike_chopper89,0,-11,2,0,-1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,9165,99,296,32,0,0
20,strike_chopper89,0,-11,2,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,9179,99,295,32,0,0
21,strike_chopper89,0,-11,3,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,9191,99,295,32,0,0
22,strike_chopper89,0,-11,3,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,9198,99,295,32,0,0
23,strike_chopper89,0,-11,3,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,9200,99,295,32,0,0
