tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat,tank_left,tank_right,turret_yaw,turret_elev,tank_ammo,tank_fired,tank_pen,tank_effective,tank_spall,crew_shock,crew_alive,module_last,platoon_order,platoon_score
0,tank4_scout_89,0,2,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
1,tank4_scout_89,0,2,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
2,tank4_scout_89,0,2,1,0,0,2,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
3,tank4_scout_89,0,2,2,0,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
4,tank4_scout_89,0,2,3,0,0,4,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
5,tank4_scout_89,0,2,4,0,0,5,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
6,tank4_scout_89,0,2,6,0,0,5,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
7,tank4_scout_89,0,2,8,0,0,6,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
8,tank4_scout_89,0,2,10,0,0,7,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
9,tank4_scout_89,0,2,12,0,0,7,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
10,tank4_scout_89,0,2,14,0,0,8,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
11,tank4_scout_89,0,2,16,0,0,8,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
12,tank4_scout_89,0,2,19,0,0,9,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
13,tank4_scout_89,0,2,21,0,0,9,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
14,tank4_scout_89,0,2,24,0,0,10,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
15,tank4_scout_89,0,2,27,0,0,10,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
16,tank4_scout_89,0,2,30,0,0,10,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
17,tank4_scout_89,0,2,33,0,0,11,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
18,tank4_scout_89,0,2,36,0,0,11,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
19,tank4_scout_89,0,2,39,0,0,11,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0
20,tank4_scout_89,0,2,42,0,0,12,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
21,tank4_scout_89,0,2,45,0,0,12,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
22,tank4_scout_89,0,2,49,0,0,12,0,0,0,5,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
23,tank4_scout_89,0,2,52,0,0,12,0,0,0,10,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
24,tank4_scout_89,0,2,56,0,0,13,0,0,0,15,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
25,tank4_scout_89,0,2,59,0,0,13,0,0,0,20,4,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
26,tank4_scout_89,0,2,63,0,0,13,0,0,0,25,5,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
27,tank4_scout_89,0,2,66,0,0,13,0,0,0,30,6,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
28,tank4_scout_89,0,2,70,0,0,13,0,0,0,35,7,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
29,tank4_scout_89,0,2,74,0,0,13,0,0,0,45,8,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
30,tank4_scout_89,0,2,77,0,0,14,0,0,0,55,9,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
31,tank4_scout_89,0,2,81,0,0,14,0,0,0,65,10,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
32,tank4_scout_89,0,2,85,0,0,14,0,0,0,75,11,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
33,tank4_scout_89,0,2,89,0,0,14,0,0,0,85,12,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
34,tank4_scout_89,0,2,93,0,0,14,0,0,0,95,13,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
35,tank4_scout_89,0,2,97,0,0,14,0,0,0,105,14,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
36,tank4_scout_89,0,2,101,0,0,14,0,0,0,115,15,56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
37,tank4_scout_89,0,2,105,0,0,14,0,0,0,130,16,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
38,tank4_scout_89,0,2,109,0,0,14,0,0,0,145,17,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
39,tank4_scout_89,0,2,113,0,0,15,0,0,0,160,18,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,0,0
40,tank4_scout_89,0,2,117,0,0,15,0,0,0,175,19,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
41,tank4_scout_89,0,2,121,0,0,15,0,0,0,190,20,57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
42,tank4_scout_89,0,2,125,0,0,15,0,0,0,205,21,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
43,tank4_scout_89,0,2,129,0,0,15,0,0,0,220,22,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
44,tank4_scout_89,0,2,133,0,0,15,0,0,0,235,23,58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
45,tank4_scout_89,0,2,137,0,0,15,0,0,0,255,24,58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
46,tank4_scout_89,0,2,141,0,0,15,0,0,0,275,25,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
47,tank4_scout_89,0,2,145,0,0,15,0,0,0,295,26,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
48,tank4_scout_89,0,2,150,0,0,15,0,0,0,315,27,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,4,-1,1,0
