tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat,tank_left,tank_right,turret_yaw,turret_elev,tank_ammo,tank_fired,tank_pen,tank_effective,tank_spall,crew_shock,crew_alive,module_last,platoon_order,platoon_score
0,tank4_t72_89,0,2,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
1,tank4_t72_89,0,2,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
2,tank4_t72_89,0,2,1,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
3,tank4_t72_89,0,2,1,0,0,2,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
4,tank4_t72_89,0,2,2,0,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
5,tank4_t72_89,0,2,3,0,0,3,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
6,tank4_t72_89,0,2,4,0,0,4,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
7,tank4_t72_89,0,2,5,0,0,4,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
8,tank4_t72_89,0,2,7,0,0,4,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
9,tank4_t72_89,0,2,8,0,0,5,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
10,tank4_t72_89,0,2,9,0,0,5,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
11,tank4_t72_89,0,2,11,0,0,6,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
12,tank4_t72_89,0,2,13,0,0,6,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
13,tank4_t72_89,0,2,15,0,0,6,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
14,tank4_t72_89,0,2,16,0,0,6,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
15,tank4_t72_89,0,2,18,0,0,7,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
16,tank4_t72_89,0,2,20,0,0,7,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
17,tank4_t72_89,0,2,22,0,0,7,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
18,tank4_t72_89,0,2,24,0,0,7,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
19,tank4_t72_89,0,2,27,0,0,8,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,0,0,0,0,0,3,-1,0,0
20,tank4_t72_89,0,2,29,0,0,8,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,3,-1,0,0
21,tank4_t72_89,0,2,31,0,0,8,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,3,-1,0,0
22,tank4_t72_89,0,2,33,0,0,8,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,3,-1,0,0
23,tank4_t72_89,0,2,36,0,0,8,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,3,0,0,0,0,0,3,-1,0,0
