tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker
0,tank_lite89,0,1,0,0,-2,0,0,2,0,0,0,50,0,0,0,0
1,tank_lite89,0,0,0,0,-2,0,0,4,0,0,0,50,0,0,0,0
2,tank_lite89,0,0,0,0,-2,0,0,4,0,0,0,50,0,0,0,0
3,tank_lite89,0,0,0,0,-2,0,0,4,0,0,0,50,0,0,0,0
4,tank_lite89,0,-1,0,0,-1,0,0,4,0,0,0,50,0,0,0,0
5,tank_lite89,0,-1,0,0,-1,0,0,4,0,0,0,51,0,0,0,0
6,tank_lite89,0,-2,0,0,-1,0,0,4,0,0,0,51,0,0,0,1
7,tank_lite89,0,-2,0,0,-1,0,0,4,0,0,0,51,0,0,0,1
8,tank_lite89,0,-2,0,0,-1,0,0,4,0,0,0,51,0,0,0,2
9,tank_lite89,0,-3,0,0,-1,0,0,4,0,0,0,51,0,0,0,2
10,tank_lite89,0,-3,0,0,0,0,0,4,0,0,0,52,0,0,0,2
11,tank_lite89,0,-3,0,0,0,0,0,4,0,0,0,52,0,0,0,2
12,tank_lite89,0,-3,0,0,0,0,0,4,0,0,0,52,0,0,0,3
13,tank_lite89,0,-3,0,0,0,0,0,4,0,0,0,52,0,0,0,3
14,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,52,0,0,0,3
15,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,53,0,0,0,3
16,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,53,0,0,0,3
17,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,53,0,0,0,3
18,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,53,0,0,0,3
19,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,53,0,0,0,3
20,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,53,0,0,0,3
21,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,54,0,0,0,3
22,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,54,0,0,0,3
23,tank_lite89,0,-4,0,0,0,0,0,4,0,0,0,54,0,0,0,3
24,tank_lite89,0,-4,1,0,0,0,0,4,0,0,0,54,0,0,0,3
25,tank_lite89,0,-4,1,0,0,0,0,4,0,0,0,54,0,0,0,3
26,tank_lite89,0,-4,1,0,0,0,0,4,0,0,0,55,0,0,0,3
27,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,55,0,0,0,3
28,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,55,0,0,0,3
29,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,55,0,0,0,3
30,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,55,0,0,0,3
31,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,56,0,0,0,3
32,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,56,0,0,0,3
33,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,56,0,0,0,3
34,tank_lite89,0,-3,1,0,0,0,0,4,0,0,0,56,0,0,0,3
35,tank_lite89,0,-2,1,0,0,0,0,4,0,0,0,56,0,0,0,3
36,tank_lite89,0,-2,1,0,0,0,0,4,0,0,0,56,0,0,0,3
37,tank_lite89,0,-2,1,0,0,0,0,4,0,0,0,57,0,0,0,3
38,tank_lite89,0,-2,2,0,0,0,0,4,0,0,0,57,0,0,0,3
39,tank_lite89,0,-2,2,0,0,0,0,4,0,0,0,57,0,0,0,3
40,tank_lite89,0,-1,2,0,0,0,0,4,0,0,0,57,0,0,0,3
41,tank_lite89,0,-1,2,0,0,0,0,4,0,0,0,57,0,0,0,3
42,tank_lite89,0,-1,2,0,0,0,0,4,0,0,0,58,0,0,0,3
43,tank_lite89,0,-1,2,0,0,0,0,4,0,0,0,58,0,0,0,3
44,tank_lite89,0,-1,2,0,0,0,0,4,0,0,0,58,0,0,0,3
45,tank_lite89,0,0,2,0,0,0,0,4,0,0,0,58,0,0,0,3
46,tank_lite89,0,0,2,0,0,0,0,4,0,0,0,58,0,0,0,3
47,tank_lite89,0,0,2,0,0,0,0,4,0,0,0,59,0,0,0,3
48,tank_lite89,0,0,2,0,0,0,0,4,0,0,0,59,0,0,0,3
49,tank_lite89,0,0,2,0,0,0,0,4,0,0,0,59,0,0,0,3
50,tank_lite89,0,0,2,0,0,0,0,4,0,0,0,59,0,0,0,3
51,tank_lite89,0,0,3,0,0,0,0,4,0,0,0,59,0,0,0,3
52,tank_lite89,0,0,3,0,0,0,0,4,0,0,0,59,0,0,0,3
53,tank_lite89,0,0,3,0,0,0,0,4,0,0,0,60,0,0,0,3
54,tank_lite89,0,1,3,0,0,0,0,4,0,0,0,60,0,0,0,3
55,tank_lite89,0,1,3,0,0,0,0,4,0,0,0,60,0,0,0,3
56,tank_lite89,0,1,3,0,0,0,0,4,0,0,0,60,0,0,0,3
57,tank_lite89,0,1,3,0,-2,0,0,2,0,0,0,60,0,0,0,3
58,tank_lite89,0,0,3,0,-1,0,0,4,0,0,0,61,0,0,0,3
59,tank_lite89,0,0,3,0,-1,0,0,4,0,0,0,61,0,0,0,3
60,tank_lite89,0,0,3,0,-1,0,0,4,0,0,0,61,0,0,0,3
61,tank_lite89,0,0,3,0,-1,0,0,4,0,0,0,61,0,0,0,4
62,tank_lite89,0,-1,3,0,-1,0,0,4,0,0,0,61,0,0,0,4
63,tank_lite89,0,-1,3,0,-1,0,0,4,0,0,0,62,0,0,0,5
64,tank_lite89,0,-1,4,0,0,0,0,4,0,0,0,62,0,0,0,5
65,tank_lite89,0,-1,4,0,0,0,0,4,0,0,0,62,0,0,0,6
66,tank_lite89,0,-1,4,0,0,0,0,4,0,0,0,62,0,0,0,6
67,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,62,0,0,0,6
68,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,62,0,0,0,7
69,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,63,0,0,0,7
70,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,63,0,0,0,7
71,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,63,0,0,0,7
72,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,63,0,0,0,7
73,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,63,0,0,0,7
74,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,64,0,0,0,7
75,tank_lite89,0,-2,4,0,0,0,0,4,0,0,0,64,0,0,0,7
76,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,64,0,0,0,7
77,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,64,0,0,0,7
78,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,64,0,0,0,7
79,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,65,0,0,0,7
80,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,65,0,0,0,7
81,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,65,0,0,0,7
82,tank_lite89,0,-2,5,0,0,0,0,4,0,0,0,65,0,0,0,7
83,tank_lite89,0,-1,5,0,0,0,0,4,0,0,0,65,0,0,0,7
84,tank_lite89,0,-1,5,0,0,0,0,4,0,0,0,65,0,0,0,7
85,tank_lite89,0,-1,5,0,0,0,0,4,0,0,0,66,0,0,0,7
86,tank_lite89,0,-1,5,0,0,0,0,4,0,0,0,66,0,0,0,7
87,tank_lite89,0,-1,5,0,0,0,0,4,0,0,0,66,0,0,0,7
88,tank_lite89,0,-1,5,0,0,0,0,4,0,0,0,66,0,0,0,7
89,tank_lite89,0,-1,6,0,0,0,0,4,0,0,0,66,0,0,0,7
90,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,67,0,0,0,7
91,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,67,0,0,0,7
92,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,67,0,0,0,7
93,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,67,0,0,0,7
94,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,67,0,0,0,7
95,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,68,0,0,0,7
96,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,68,0,0,0,7
97,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,68,0,0,0,7
98,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,68,0,0,0,7
99,tank_lite89,0,0,6,0,0,0,0,4,0,0,0,68,0,0,0,7
100,tank_lite89,0,1,6,0,0,0,0,4,0,0,0,68,0,0,0,7
101,tank_lite89,0,0,6,0,-2,0,0,2,0,0,0,69,0,0,0,7
102,tank_lite89,0,0,7,0,-1,0,0,4,0,1,0,69,0,0,0,7
103,tank_lite89,0,0,7,0,-1,0,0,4,0,2,0,69,0,0,0,7
104,tank_lite89,0,0,7,0,-1,0,0,4,0,2,0,69,0,0,0,8
105,tank_lite89,0,-1,7,0,-1,0,0,4,0,2,0,69,0,0,0,8
106,tank_lite89,0,-1,7,0,-1,0,0,4,0,2,0,70,0,0,0,9
107,tank_lite89,0,-1,7,0,-1,0,0,4,0,2,0,70,0,0,0,10
108,tank_lite89,0,-2,7,0,0,0,0,4,0,2,0,70,0,0,0,10
