tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo
0,thunder_chopper89,0,10,0,0,-5,0,0,0,1,0,0,50,0,0,0,0,0,0,0,4980,999,998,80,0,0
1,thunder_chopper89,0,8,0,0,-9,0,0,0,0,0,0,50,0,0,0,0,0,0,0,6233,999,998,80,0,0
2,thunder_chopper89,0,4,0,0,-14,0,0,0,0,0,0,50,0,0,0,0,0,0,0,6574,999,998,80,0,0
3,thunder_chopper89,0,0,0,0,-18,0,0,0,0,0,0,50,0,0,0,0,0,0,0,6666,999,998,80,0,0
4,thunder_chopper89,0,0,0,0,-1,0,0,0,1,0,0,50,0,0,0,0,0,0,0,6674,999,997,80,0,0
5,thunder_chopper89,0,-2,0,0,-4,0,0,0,0,0,0,51,0,0,0,0,0,0,0,6681,999,997,80,0,0
6,thunder_chopper89,0,-3,1,0,-3,1,0,0,0,0,0,51,0,0,0,0,0,0,0,6688,999,997,80,0,0
7,thunder_chopper89,0,-4,1,0,-3,1,0,0,0,0,0,51,0,0,0,0,0,0,0,6695,999,997,80,0,0
8,thunder_chopper89,0,-5,1,0,-3,1,0,0,1,0,0,51,0,0,0,0,0,0,0,6701,999,996,80,0,0
9,thunder_chopper89,0,-5,2,0,-3,1,0,0,0,0,0,51,0,0,0,0,0,0,0,6707,999,996,80,0,0
10,thunder_chopper89,0,-6,2,0,-3,1,0,0,0,0,0,52,0,0,0,0,0,0,0,6712,999,996,80,0,0
11,thunder_chopper89,0,-7,2,0,-2,1,0,0,0,0,0,52,0,0,0,0,0,0,0,6717,999,996,80,0,0
12,thunder_chopper89,0,-8,3,0,-2,1,0,0,1,0,0,52,0,0,0,0,0,0,0,6722,999,995,80,0,0
13,thunder_chopper89,0,-8,3,0,-2,1,0,0,0,0,0,52,0,0,0,0,0,0,0,6727,999,995,80,0,0
14,thunder_chopper89,0,-9,4,0,-2,1,0,0,0,0,0,52,0,0,0,0,0,0,0,6731,999,995,80,0,0
15,thunder_chopper89,0,-10,4,0,-2,1,0,0,0,0,0,53,0,0,0,0,0,0,0,6735,999,995,80,0,0
16,thunder_chopper89,0,-10,5,0,-2,1,0,0,1,0,0,53,0,0,0,0,0,0,0,6739,999,994,80,0,0
17,thunder_chopper89,0,-11,5,0,-2,1,0,0,0,0,0,53,0,0,0,0,0,0,0,6742,999,994,80,0,0
18,thunder_chopper89,0,-11,6,0,-2,2,0,0,0,0,0,53,0,0,0,0,0,0,0,6745,999,994,80,0,0
19,thunder_chopper89,0,-12,6,0,-1,2,0,0,0,0,0,53,0,0,0,0,0,0,0,6748,999,994,80,0,0
20,thunder_chopper89,0,-12,7,0,-1,2,0,0,1,0,0,53,0,0,0,0,0,0,0,6751,999,993,80,0,0
21,thunder_chopper89,0,-13,8,0,-1,2,0,0,0,0,0,54,0,0,0,0,0,0,0,6754,999,993,80,0,0
22,thunder_chopper89,0,-13,8,0,-1,2,0,0,0,0,0,54,0,0,0,0,0,0,0,6756,999,993,80,0,0
23,thunder_chopper89,0,-14,9,0,-1,2,0,0,0,0,0,54,0,0,0,0,0,0,0,6759,999,993,80,0,0
24,thunder_chopper89,0,-14,9,0,-1,2,0,0,0,0,0,54,0,0,0,0,0,0,0,6761,999,993,80,0,0
25,thunder_chopper89,0,-14,10,0,0,2,0,0,0,0,0,54,0,0,0,0,0,0,0,6763,999,993,80,0,0
26,thunder_chopper89,0,-14,11,0,0,2,0,0,0,0,0,55,0,0,0,0,0,0,0,6765,999,993,80,0,0
27,thunder_chopper89,0,-14,11,0,0,2,0,0,0,0,0,55,0,0,0,0,0,0,0,6767,999,993,80,0,0
28,thunder_chopper89,0,-14,12,0,0,2,0,0,0,0,0,55,0,0,0,0,0,0,0,6768,999,993,80,0,0
29,thunder_chopper89,0,-14,13,0,0,2,0,0,0,0,0,55,0,0,0,0,0,0,0,6770,999,993,80,0,0
30,thunder_chopper89,0,-14,13,0,1,2,0,0,0,0,0,55,0,0,0,0,0,0,0,6771,999,993,80,0,0
31,thunder_chopper89,0,-13,14,0,1,2,0,0,0,0,0,56,0,0,0,0,0,0,0,6773,999,993,80,0,0
32,thunder_chopper89,0,-13,15,0,1,2,0,0,0,0,0,56,0,0,0,0,0,0,0,6774,999,993,80,0,0
33,thunder_chopper89,0,-13,15,0,1,2,0,0,0,0,0,56,0,0,0,0,0,0,0,6775,999,993,80,0,0
34,thunder_chopper89,0,-12,16,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0,0,6776,999,993,80,0,0
35,thunder_chopper89,0,-12,17,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0,0,6777,999,993,80,0,0
36,thunder_chopper89,0,-12,17,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0,0,6778,999,993,80,0,0
37,thunder_chopper89,0,-12,18,0,0,2,0,0,0,0,0,57,0,0,0,0,0,0,0,6779,999,993,80,0,0
38,thunder_chopper89,0,-12,19,0,0,2,0,0,0,0,0,57,0,0,0,0,0,0,0,6780,999,993,80,0,0
39,thunder_chopper89,0,-12,20,0,0,2,0,0,0,0,0,57,0,0,0,0,0,0,0,6781,999,993,80,0,0
40,thunder_chopper89,0,-13,20,0,0,2,0,0,0,0,0,57,0,0,0,0,0,0,0,6782,999,993,80,0,0
41,thunder_chopper89,0,-13,21,0,0,2,0,0,0,0,0,57,0,0,0,0,0,0,0,6783,999,993,80,0,0
42,thunder_chopper89,0,-13,22,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,6783,999,993,80,0,0
43,thunder_chopper89,0,-13,23,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,6784,999,993,80,0,0
44,thunder_chopper89,0,-13,23,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,6784,999,993,80,0,0
45,thunder_chopper89,0,-13,24,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,6785,999,993,80,0,0
46,thunder_chopper89,0,-13,25,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,6786,999,993,80,0,0
47,thunder_chopper89,0,-13,25,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,6786,999,993,80,0,0
48,thunder_chopper89,0,-13,26,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,6786,999,993,80,0,0
49,thunder_chopper89,0,-13,27,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,6787,999,993,80,0,0
50,thunder_chopper89,0,-13,28,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,6787,999,993,80,0,0
51,thunder_chopper89,0,-13,28,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,6788,999,993,80,0,0
52,thunder_chopper89,0,-13,29,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,6788,999,993,80,0,0
53,thunder_chopper89,0,-13,30,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,6788,999,993,80,0,0
54,thunder_chopper89,0,-13,31,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,6789,999,993,80,0,0
55,thunder_chopper89,0,-13,31,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,6789,999,993,80,0,0
56,thunder_chopper89,0,-13,32,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,6789,999,993,80,0,0
57,thunder_chopper89,0,-13,33,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,6789,999,993,80,0,0
58,thunder_chopper89,0,-13,34,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,0,6789,999,993,80,0,0
59,thunder_chopper89,0,-13,34,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,0,6790,999,993,80,0,0
60,thunder_chopper89,0,-13,35,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,0,6790,999,993,80,0,0
61,thunder_chopper89,0,-13,36,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,0,6790,999,993,80,0,0
62,thunder_chopper89,0,-13,37,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,0,6790,999,993,80,0,0
63,thunder_chopper89,0,-13,37,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,6791,999,993,80,0,0
64,thunder_chopper89,0,-13,38,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,6791,999,993,80,0,0
65,thunder_chopper89,0,-13,39,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,6791,999,993,80,0,0
66,thunder_chopper89,0,-13,40,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,6791,999,993,80,0,0
67,thunder_chopper89,0,-13,41,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,6791,999,993,80,0,0
68,thunder_chopper89,0,-13,41,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,6792,999,993,80,0,0
69,thunder_chopper89,0,-13,42,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,6792,999,993,80,0,0
70,thunder_chopper89,0,-13,43,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,6792,999,993,80,0,0
71,thunder_chopper89,0,-13,44,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,6792,999,993,80,0,0
72,thunder_chopper89,0,-13,44,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,6792,999,993,80,0,0
73,thunder_chopper89,0,-13,45,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,6792,999,993,80,0,0
74,thunder_chopper89,0,-13,46,0,0,2,0,0,0,0,0,64,0,0,0,0,0,0,0,6792,999,993,80,0,0
75,thunder_chopper89,0,-13,47,0,0,2,0,0,1,0,0,64,0,0,0,0,0,0,0,6792,999,992,80,0,0
76,thunder_chopper89,0,-13,47,0,0,2,0,0,0,0,0,64,0,0,0,0,0,0,0,6792,999,992,80,0,0
77,thunder_chopper89,0,-13,48,0,0,2,0,0,0,0,0,64,0,0,0,0,0,0,0,6792,999,992,80,0,0
78,thunder_chopper89,0,-13,49,0,0,2,0,0,0,0,0,64,0,0,0,0,0,0,0,6792,999,992,80,0,0
79,thunder_chopper89,0,-13,50,0,0,2,0,0,1,0,0,65,0,0,0,0,0,0,0,6792,999,991,80,0,0
80,thunder_chopper89,0,-13,50,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,6792,999,991,80,0,0
81,thunder_chopper89,0,-13,51,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,6792,999,991,80,0,0
82,thunder_chopper89,0,-13,52,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,6792,999,991,80,0,0
83,thunder_chopper89,0,-13,53,0,0,2,0,0,1,0,0,65,0,0,0,0,0,0,0,6792,999,990,80,0,0
84,thunder_chopper89,0,-13,54,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,6792,999,990,80,0,0
85,thunder_chopper89,0,-13,54,1,0,2,0,0,0,0,0,66,0,0,0,0,0,0,0,6792,999,990,80,0,0
86,thunder_chopper89,1,-13,55,1,0,2,0,0,0,0,0,66,0,0,0,0,0,0,0,6792,999,990,80,0,0
87,thunder_chopper89,1,-13,56,1,0,2,0,0,1,0,0,66,0,0,0,0,0,0,0,6792,999,989,80,0,0
88,thunder_chopper89,2,-13,57,1,0,2,0,0,0,0,0,66,0,0,0,0,0,0,0,6792,999,989,80,0,0
89,thunder_chopper89,2,-13,57,1,0,2,0,0,0,0,0,66,0,0,0,0,0,0,0,6792,999,989,80,0,0
90,thunder_chopper89,3,-13,58,1,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,6792,999,989,80,0,0
91,thunder_chopper89,3,-13,59,2,0,2,0,0,1,0,0,67,0,0,0,0,0,0,0,6792,999,988,80,0,0
92,thunder_chopper89,4,-13,60,2,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,6792,999,988,80,0,0
93,thunder_chopper89,4,-13,60,2,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,6792,999,988,80,0,0
94,thunder_chopper89,5,-13,61,2,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,6792,999,988,80,0,0
95,thunder_chopper89,5,-13,62,2,0,2,0,0,1,0,0,68,0,0,0,0,0,0,0,6792,999,987,80,0,0
96,thunder_chopper89,6,-13,63,2,0,2,0,0,0,0,0,68,0,0,0,0,0,0,0,6792,999,987,80,0,0
97,thunder_chopper89,7,-13,63,2,0,2,0,0,0,0,0,68,0,0,0,0,0,0,0,6792,999,987,80,0,0
98,thunder_chopper89,8,-13,64,2,0,2,0,0,0,0,0,68,0,0,0,0,0,0,0,6792,999,987,80,0,0
99,thunder_chopper89,8,-13,65,2,0,2,0,0,0,0,0,68,0,0,0,0,0,0,0,6792,999,987,80,0,0
100,thunder_chopper89,9,-13,66,2,0,2,0,0,0,0,0,68,0,0,0,0,0,0,0,6792,999,987,80,0,0
101,thunder_chopper89,10,-13,67,2,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,6792,999,987,80,0,0
102,thunder_chopper89,11,-13,67,2,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,6792,999,987,80,0,0
103,thunder_chopper89,11,-13,68,3,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,6792,999,987,80,0,0
104,thunder_chopper89,12,-13,69,3,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,6792,999,987,80,0,0
105,thunder_chopper89,13,-13,70,3,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,6792,999,987,80,0,0
106,thunder_chopper89,14,-13,70,3,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,6792,999,987,80,0,0
107,thunder_chopper89,15,-13,71,3,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,6792,999,987,80,0,0
108,thunder_chopper89,16,-13,72,3,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,6792,999,987,80,0,0
109,thunder_chopper89,17,-13,73,3,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,6792,999,987,80,0,0
110,thunder_chopper89,18,-13,73,3,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,6792,999,987,80,0,0
111,thunder_chopper89,18,-13,74,3,0,2,0,0,0,0,0,71,0,0,0,0,0,0,0,6792,999,987,80,0,0
112,thunder_chopper89,19,-13,75,3,0,2,0,0,0,0,0,71,0,0,0,0,0,0,0,6792,999,987,80,0,0
