tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo
0,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
3,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
4,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
5,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
6,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
7,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
8,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
9,warthog89,0,2,1,0,0,0,0,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
10,warthog89,0,1,1,0,-5,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
11,warthog89,0,0,1,0,-4,0,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
12,warthog89,0,0,1,0,1,0,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
13,warthog89,0,0,1,0,1,0,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
14,warthog89,0,1,1,0,1,0,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
15,warthog89,0,1,2,0,1,0,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
16,warthog89,0,1,2,0,1,0,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
17,warthog89,0,2,2,0,1,0,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
18,warthog89,0,1,2,0,-4,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
19,warthog89,0,0,3,0,-3,0,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
20,warthog89,0,0,3,0,0,0,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
21,warthog89,0,0,3,0,1,0,0,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
22,warthog89,0,1,3,0,1,0,0,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
23,warthog89,0,1,4,0,1,0,0,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
24,warthog89,0,1,4,0,1,1,0,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
25,warthog89,0,2,4,0,1,1,0,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
26,warthog89,0,2,4,0,1,1,0,4,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
27,warthog89,0,2,5,0,1,1,0,4,0,2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
28,warthog89,0,1,5,0,-4,0,0,0,0,2,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0
29,warthog89,0,0,5,0,-3,1,0,4,0,2,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0
30,warthog89,0,0,5,0,-3,1,0,4,0,2,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0
31,warthog89,0,0,6,0,1,1,0,4,0,3,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0
32,warthog89,0,0,6,0,1,1,0,4,0,4,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0
33,warthog89,0,0,6,0,1,1,0,4,0,5,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0
34,warthog89,0,1,7,0,1,1,0,4,0,6,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0
35,warthog89,0,1,7,0,1,1,0,4,0,7,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0
36,warthog89,0,2,7,0,1,1,0,4,0,8,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0
37,warthog89,0,2,8,0,1,1,0,4,0,9,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0
38,warthog89,0,3,8,0,1,1,0,4,0,10,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0
39,warthog89,0,2,8,0,-4,1,0,0,0,10,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0
40,warthog89,0,1,8,0,-3,1,0,4,0,11,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0
41,warthog89,0,0,9,0,-3,1,0,4,0,12,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0
42,warthog89,0,0,9,0,0,1,0,4,0,13,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0
43,warthog89,0,0,9,0,1,1,0,4,0,14,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0
44,warthog89,0,1,10,0,1,1,0,4,0,15,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0
45,warthog89,0,1,10,0,1,1,0,4,0,16,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0
46,warthog89,0,1,10,0,1,1,0,4,0,17,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0
47,warthog89,0,2,11,0,1,1,0,4,0,18,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0
48,warthog89,0,1,11,0,-1,1,0,2,0,18,0,59,0,0,0,2,0,0,0,0,0,0,0,0,0
49,warthog89,0,0,11,0,-3,1,0,2,0,18,0,59,0,0,0,6,0,0,0,0,0,0,0,0,0
50,warthog89,0,1,12,0,0,1,0,4,0,19,0,59,0,0,0,6,0,0,0,0,0,0,0,0,0
51,warthog89,0,0,12,0,-1,1,0,2,0,19,0,59,0,0,0,13,0,0,0,0,0,0,0,0,0
52,warthog89,0,0,12,0,-2,1,0,2,0,19,0,59,0,0,0,13,0,0,0,0,0,0,0,0,0
53,warthog89,0,0,12,0,1,1,0,4,0,20,0,60,0,0,0,14,0,0,0,0,0,0,0,0,0
54,warthog89,0,0,13,0,0,1,0,2,0,20,0,60,0,0,0,17,0,0,0,0,0,0,0,0,0
55,warthog89,0,0,13,0,-1,1,0,2,0,20,0,60,0,0,0,17,0,0,0,0,0,0,0,0,0
56,warthog89,0,0,13,0,1,1,0,4,0,20,0,60,0,0,0,28,0,0,0,0,0,0,0,0,0
57,warthog89,0,0,14,0,2,1,0,4,0,21,0,60,0,0,0,28,0,0,0,0,0,0,0,0,0
58,warthog89,0,1,14,0,3,1,0,4,0,22,0,61,0,0,0,28,0,0,0,0,0,0,0,0,0
59,warthog89,0,1,14,0,0,1,0,2,0,22,0,61,0,0,0,31,0,0,0,0,0,0,0,0,0
60,warthog89,0,1,14,0,-2,1,0,2,0,22,0,61,0,0,0,31,0,0,0,0,0,0,0,0,0
61,warthog89,0,0,15,0,-2,1,0,2,0,22,0,61,0,0,0,31,0,0,0,0,0,0,0,0,0
62,warthog89,0,0,15,0,-1,1,0,2,0,22,0,61,0,0,0,32,0,0,0,0,0,0,0,0,0
63,warthog89,0,0,15,0,1,1,0,4,0,22,0,62,0,0,0,41,0,0,0,0,0,0,0,0,0
64,warthog89,0,0,16,0,2,1,0,4,0,23,0,62,0,0,0,41,0,0,0,0,0,0,0,0,0
65,warthog89,0,0,16,0,0,1,0,2,0,23,0,62,0,0,0,53,0,0,0,0,0,0,0,0,0
66,warthog89,0,0,16,0,-2,1,0,2,0,23,0,62,0,0,0,53,0,0,0,0,0,0,0,0,0
67,warthog89,0,0,16,0,1,1,0,4,0,24,0,62,0,0,0,53,0,0,0,0,0,0,0,0,0
68,warthog89,0,0,17,0,0,1,0,2,0,24,0,62,0,0,0,61,0,0,0,0,0,0,0,0,0
69,warthog89,0,0,17,0,0,1,0,4,0,25,0,63,0,0,0,61,0,0,0,0,0,0,0,0,0
70,warthog89,0,1,17,0,1,1,0,4,0,26,0,63,0,0,0,61,0,0,0,0,0,0,0,0,0
71,warthog89,0,0,17,0,0,1,0,2,0,26,0,63,0,0,0,74,0,0,0,0,0,0,0,0,0
72,warthog89,0,0,18,0,-2,1,0,2,0,26,0,63,0,0,0,74,0,0,0,0,0,0,0,0,0
73,warthog89,0,0,18,0,1,1,0,4,0,27,0,63,0,0,0,76,0,0,0,0,0,0,0,0,0
74,warthog89,0,1,18,0,1,1,0,4,0,28,0,64,0,0,0,76,0,0,0,0,0,0,0,0,0
75,warthog89,0,1,19,0,0,1,0,2,0,28,0,64,0,0,0,88,0,0,0,0,0,0,0,0,0
76,warthog89,0,0,19,0,-2,1,0,2,0,28,0,64,0,0,0,88,0,0,0,0,0,0,0,0,0
77,warthog89,0,0,19,0,1,1,0,4,0,29,0,64,0,0,0,91,0,0,0,0,0,0,0,0,0
78,warthog89,0,0,19,0,0,1,0,2,0,29,0,64,0,0,0,96,0,0,0,0,0,0,0,0,0
79,warthog89,0,0,20,0,-1,0,0,2,0,29,0,65,0,0,0,96,0,0,0,0,0,0,0,0,0
80,warthog89,0,0,20,0,1,1,0,4,0,30,0,65,0,0,0,98,0,0,0,0,0,0,0,0,0
81,warthog89,0,0,20,0,0,0,0,2,0,30,0,65,0,0,0,100,0,0,0,0,0,0,0,0,0
82,warthog89,0,0,20,0,0,1,0,4,0,30,0,65,0,0,0,100,0,0,0,0,0,0,0,0,0
83,warthog89,0,0,21,0,1,1,0,4,0,31,0,65,0,0,0,100,0,0,0,0,0,0,0,0,0
84,warthog89,0,0,21,0,0,1,0,2,0,31,0,65,0,0,0,100,0,0,0,0,0,0,0,0,0
85,warthog89,0,0,21,0,0,1,0,3,0,31,0,66,0,0,0,100,0,0,0,0,0,0,0,0,0
86,warthog89,0,0,22,0,0,1,0,3,0,31,0,66,0,0,0,100,0,0,0,0,0,0,0,0,0
87,warthog89,0,0,22,0,0,1,0,3,0,31,0,66,0,0,0,100,0,0,0,0,0,0,0,0,0
88,warthog89,0,0,22,0,0,1,0,3,0,31,0,66,0,0,0,100,0,0,0,0,0,0,0,0,0
89,warthog89,0,0,22,0,0,1,0,3,0,31,0,66,0,0,0,100,0,0,0,0,0,0,0,0,0
90,warthog89,0,0,23,0,0,1,0,4,0,32,0,67,0,0,0,100,0,0,0,0,0,0,0,0,0
91,warthog89,0,0,23,0,1,1,0,4,0,33,0,67,0,0,0,100,0,0,0,0,0,0,0,0,0
92,warthog89,0,0,23,0,0,1,0,2,0,33,0,67,0,0,0,100,0,0,0,0,0,0,0,0,0
93,warthog89,0,0,23,0,0,1,0,3,0,33,0,67,0,0,0,100,0,0,0,0,0,0,0,0,0
94,warthog89,0,0,24,0,0,1,0,4,0,33,0,67,0,0,0,100,0,0,0,0,0,0,0,0,0
95,warthog89,0,0,24,0,-1,1,0,2,0,33,0,68,0,0,0,100,0,0,0,0,0,0,0,0,0
96,warthog89,0,0,24,0,0,1,0,4,0,34,0,68,0,0,0,100,0,0,0,0,0,0,0,0,0
97,warthog89,0,0,25,0,0,1,0,3,0,34,0,68,0,0,0,100,0,0,0,0,0,0,0,0,0
98,warthog89,0,0,25,0,0,1,0,3,0,34,0,68,0,0,0,100,0,0,0,0,0,0,0,0,0
99,warthog89,0,0,25,0,0,1,0,3,0,34,0,68,0,0,0,100,0,0,0,0,0,0,0,0,0
100,warthog89,0,0,25,0,0,1,0,3,0,34,0,68,0,0,0,100,0,0,0,0,0,0,0,0,0
