tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker
0,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
1,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
2,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
3,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
4,warthog89,0,2,0,0,0,0,0,4,0,0,0,50,0,0,0,0
5,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
6,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
7,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
8,warthog89,0,2,0,0,0,0,0,4,0,0,0,51,0,0,0,0
9,warthog89,0,2,1,0,0,0,0,4,0,0,0,51,0,0,0,0
10,warthog89,0,1,1,0,-5,0,0,0,0,0,0,52,0,0,0,0
11,warthog89,0,0,1,0,-4,0,0,4,0,0,0,52,0,0,0,0
12,warthog89,0,0,1,0,1,0,0,4,0,0,0,52,0,0,0,0
13,warthog89,0,0,1,0,1,0,0,4,0,0,0,52,0,0,0,0
14,warthog89,0,1,1,0,1,0,0,4,0,0,0,52,0,0,0,0
15,warthog89,0,1,2,0,1,0,0,4,0,0,0,53,0,0,0,0
16,warthog89,0,1,2,0,1,0,0,4,0,0,0,53,0,0,0,0
17,warthog89,0,2,2,0,1,0,0,4,0,0,0,53,0,0,0,0
18,warthog89,0,1,2,0,-4,0,0,0,0,0,0,53,0,0,0,0
19,warthog89,0,0,3,0,-3,0,0,4,0,0,0,53,0,0,0,0
20,warthog89,0,0,3,0,0,0,0,4,0,0,0,53,0,0,0,0
21,warthog89,0,0,3,0,1,0,0,4,0,0,0,54,0,0,0,0
22,warthog89,0,1,3,0,1,0,0,4,0,0,0,54,0,0,0,0
23,warthog89,0,1,4,0,1,0,0,4,0,0,0,54,0,0,0,0
24,warthog89,0,1,4,0,1,1,0,4,0,0,0,54,0,0,0,0
25,warthog89,0,2,4,0,1,1,0,4,0,0,0,54,0,0,0,0
26,warthog89,0,2,4,0,1,1,0,4,0,1,0,55,0,0,0,0
27,warthog89,0,2,5,0,1,1,0,4,0,2,0,55,0,0,0,0
28,warthog89,0,1,5,0,-4,0,0,0,0,2,0,55,0,0,0,1
29,warthog89,0,0,5,0,-3,1,0,4,0,2,0,55,0,0,0,1
30,warthog89,0,0,5,0,-3,1,0,4,0,2,0,55,0,0,0,1
31,warthog89,0,0,6,0,1,1,0,4,0,3,0,56,0,0,0,1
32,warthog89,0,0,6,0,1,1,0,4,0,4,0,56,0,0,0,1
33,warthog89,0,0,6,0,1,1,0,4,0,5,0,56,0,0,0,1
