tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker
0,wave_jetski89,0,0,0,0,-5,0,0,0,0,0,0,50,0,0,0,0
1,wave_jetski89,0,-2,0,0,-10,0,0,0,0,0,0,50,0,0,0,0
2,wave_jetski89,0,-6,0,0,-15,1,0,0,4,0,0,50,0,0,0,0
3,wave_jetski89,0,-11,0,0,-20,1,0,0,4,0,0,50,0,0,0,0
4,wave_jetski89,0,-18,1,0,-24,1,0,0,4,0,0,50,0,0,0,0
5,wave_jetski89,0,-25,1,0,-27,1,0,0,4,0,0,51,0,0,0,0
6,wave_jetski89,0,-34,2,0,-30,2,0,0,4,0,0,51,0,0,0,0
7,wave_jetski89,0,-43,3,0,-33,2,0,0,4,0,0,51,0,0,0,0
8,wave_jetski89,0,-52,3,0,-36,2,0,0,4,0,0,51,0,0,0,0
9,wave_jetski89,0,-62,4,0,-38,2,0,0,4,0,0,51,0,0,0,0
10,wave_jetski89,0,-73,5,0,-39,3,0,0,4,0,0,52,0,0,0,0
11,wave_jetski89,0,-84,6,0,-41,3,0,0,4,0,0,52,0,0,0,0
12,wave_jetski89,0,-95,7,0,-42,3,0,0,4,0,0,52,0,0,0,0
13,wave_jetski89,0,-107,7,0,-43,3,0,0,4,0,0,52,0,0,0,0
14,wave_jetski89,0,-119,8,0,-43,3,0,0,4,0,0,52,0,0,0,0
15,wave_jetski89,0,-130,9,0,-43,3,0,0,4,0,0,53,0,0,0,0
16,wave_jetski89,0,-142,10,0,-43,3,0,0,4,0,0,53,0,0,0,0
17,wave_jetski89,0,-153,12,0,-43,4,0,0,4,0,0,53,0,0,0,0
18,wave_jetski89,0,-165,13,0,-42,4,0,0,4,0,0,53,0,0,0,0
19,wave_jetski89,0,-176,14,0,-42,4,0,0,4,0,0,53,0,0,0,0
20,wave_jetski89,0,-187,15,0,-41,4,0,0,4,0,0,53,0,0,0,0
21,wave_jetski89,0,-198,16,0,-40,4,0,0,4,0,0,54,0,0,0,0
22,wave_jetski89,0,-208,17,0,-38,4,0,0,4,0,0,54,0,0,0,0
23,wave_jetski89,0,-218,19,0,-37,4,0,0,4,0,0,54,0,0,0,0
24,wave_jetski89,0,-228,20,0,-36,4,0,0,4,0,0,54,0,0,0,0
25,wave_jetski89,0,-237,21,0,-34,4,0,0,4,0,0,54,0,0,0,0
