tick,name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,grounded,fx_count,kudos,combo,nitro,riskboost,takedowns,skill_driver,crashbreaker,airspeed,air_lift,rotor_rpm,rotor_lift,fuel,cannon,missiles,lock,cargo,av_lock,threat,engine_dead,ctrl_loss,mission_score,medal,wing_score,shield,laser,heat
0,rogue_xwing89,0,18,15,0,0,56,0,0,2,5,1,50,0,0,0,20,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,100,92,6
1,rogue_xwing89,0,18,29,0,0,53,0,0,1,10,2,50,0,0,0,39,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,100,84,11
2,rogue_xwing89,0,18,42,0,0,49,0,0,1,15,3,50,1,0,0,57,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,100,76,17
3,rogue_xwing89,0,18,55,0,0,47,0,0,1,20,4,50,1,0,0,74,0,0,0,0,9999,998,80,0,0,0,0,0,0,0,0,0,100,68,23
4,rogue_xwing89,0,18,66,0,0,44,0,0,2,25,5,50,1,0,0,90,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,100,60,29
5,rogue_xwing89,0,18,78,0,0,41,0,0,1,30,6,51,2,0,0,100,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,100,52,35
6,rogue_xwing89,0,18,88,0,0,39,0,0,1,35,7,51,2,0,0,100,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,100,44,41
7,rogue_xwing89,0,18,98,0,0,37,0,0,1,45,8,51,3,0,0,100,0,0,0,0,9999,997,80,0,0,0,0,0,0,0,0,0,100,36,47
8,rogue_xwing89,0,18,107,0,0,34,0,0,2,55,9,51,3,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,100,28,53
9,rogue_xwing89,0,18,116,0,0,32,0,0,1,65,10,51,3,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,100,20,59
10,rogue_xwing89,0,18,124,0,0,31,0,0,1,75,11,52,4,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,100,12,65
11,rogue_xwing89,0,18,132,0,0,29,0,0,1,85,12,52,4,0,0,100,0,0,0,0,9999,996,80,0,0,0,0,0,0,0,0,0,100,4,71
12,rogue_xwing89,0,18,140,0,0,27,0,0,1,95,13,52,4,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
13,rogue_xwing89,0,18,147,0,0,26,0,0,0,105,14,52,5,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
14,rogue_xwing89,0,18,153,0,0,24,0,0,0,115,15,52,5,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
15,rogue_xwing89,0,18,159,0,0,23,0,0,0,130,16,53,6,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
16,rogue_xwing89,0,18,165,0,0,22,0,0,0,145,17,53,6,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
17,rogue_xwing89,0,18,171,0,0,20,0,0,0,160,18,53,6,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
18,rogue_xwing89,0,18,176,0,0,19,0,0,0,175,19,53,7,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
19,rogue_xwing89,0,18,181,0,0,18,0,0,0,190,20,53,7,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
20,rogue_xwing89,0,18,186,0,0,17,0,0,0,205,21,53,7,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
21,rogue_xwing89,0,18,190,0,0,16,0,0,0,220,22,54,8,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
22,rogue_xwing89,0,18,195,0,0,16,0,0,0,235,23,54,8,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
23,rogue_xwing89,0,18,199,0,0,15,0,0,0,255,24,54,9,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
24,rogue_xwing89,0,18,203,0,0,14,0,0,0,275,25,54,9,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
25,rogue_xwing89,0,18,206,0,0,13,0,0,0,295,26,54,9,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
26,rogue_xwing89,0,18,210,0,0,13,0,0,0,315,27,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
27,rogue_xwing89,0,18,213,0,0,12,0,0,0,335,28,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
28,rogue_xwing89,0,18,216,0,0,11,0,0,0,335,28,55,10,0,0,100,0,0,0,0,9999,995,80,0,0,0,0,0,0,0,0,0,100,4,71
