codec,wrapper,level,dataset,source_kind,family,size_class,input_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mib_s,decompress_mib_s,comp_mem_bytes,decomp_mem_bytes,ok,note
zragf,zlib,1,alpha.txt,file,text,tiny,45,53,1.177778,0.000,0.000,0.000,0.000,369308,168170,1,ok
zlib,zlib,1,alpha.txt,file,text,tiny,45,51,1.133333,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,alpha.txt,file,text,tiny,45,56,1.244444,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,alpha.txt,file,text,tiny,45,53,1.177778,0.000,0.000,0.000,0.000,369308,168170,1,ok
zlib,zlib,6,alpha.txt,file,text,tiny,45,51,1.133333,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,alpha.txt,file,text,tiny,45,51,1.133333,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,alpha.txt,file,text,tiny,45,53,1.177778,0.000,0.000,0.000,0.000,369308,168170,1,ok
zlib,zlib,9,alpha.txt,file,text,tiny,45,51,1.133333,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,alpha.txt,file,text,tiny,45,51,1.133333,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,371004,168594,1,ok
zlib,zlib,1,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,371004,168594,1,ok
zlib,zlib,6,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,371004,168594,1,ok
zlib,zlib,9,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
