id,enum,name,category,draw_mode,asset_id,asset_file,color_rgba,behavior,spread_percent,animation_kind,shape_type,segment_mask,direction_mask,radius_x_px,radius_y_px,depth_px,rotation_deg,break_px,spread_mode,origin
0,GCB89_PRESET_BLANK3D_DEFAULT,blank3d_default,default,1,0,,"209,235,255,255",25,100,0,cross,255,15,0,0,0,0,0,gap,legacy96
1,GCB89_PRESET_PRECISION_PIXEL,precision_pixel,precision,1,0,,"0,255,255,255",12,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
2,GCB89_PRESET_PRECISION_DOT,precision_dot,precision,1,0,,"0,255,255,255",12,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
3,GCB89_PRESET_PRECISION_DOT_LARGE,precision_dot_large,precision,1,0,,"80,255,80,255",12,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
4,GCB89_PRESET_CLASSIC_COMPACT,classic_compact,classic,1,0,,"0,255,255,255",16,65,1,cross,255,15,0,0,0,0,0,gap,legacy96
5,GCB89_PRESET_CLASSIC_MEDIUM,classic_medium,classic,1,0,,"40,255,160,255",16,85,4,cross,255,15,0,0,0,0,0,gap,legacy96
6,GCB89_PRESET_CLASSIC_OPEN,classic_open,classic,1,0,,"255,235,89,255",16,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
7,GCB89_PRESET_CLASSIC_LONG,classic_long,classic,1,0,,"255,255,255,255",17,70,4,cross,255,15,0,0,0,0,0,gap,legacy96
8,GCB89_PRESET_CLASSIC_THICK,classic_thick,classic,1,0,,"80,255,80,255",16,80,4,cross,255,15,0,0,0,0,0,gap,legacy96
9,GCB89_PRESET_CLASSIC_NO_DOT,classic_no_dot,classic,1,0,,"255,255,255,255",17,90,4,cross,255,15,0,0,0,0,0,gap,legacy96
10,GCB89_PRESET_CLASSIC_SPLIT_DOT,classic_split_dot,classic,1,0,,"255,235,89,255",29,80,4,cross,255,15,0,0,0,0,0,gap,legacy96
11,GCB89_PRESET_TACTICAL_T,tactical_t,tactical,1,0,,"0,255,255,255",1,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
12,GCB89_PRESET_TACTICAL_INVERTED_T,tactical_inverted_t,tactical,1,0,,"0,255,255,255",1,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
13,GCB89_PRESET_TACTICAL_LEFT_OPEN,tactical_left_open,tactical,1,0,,"40,255,160,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
14,GCB89_PRESET_TACTICAL_RIGHT_OPEN,tactical_right_open,tactical,1,0,,"40,255,160,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
15,GCB89_PRESET_HORIZONTAL_MICRO,horizontal_micro,minimal,1,0,,"0,255,255,255",12,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
