000 base_legacy                            6 shapes 000_base_legacy.ini
001 fine_cross                             1 shapes 001_fine_cross.ini
002 duplex_classic                         5 shapes 002_duplex_classic.ini
003 duplex_heavy                           5 shapes 003_duplex_heavy.ini
004 german_1                               4 shapes 004_german_1.ini
005 german_4                               4 shapes 005_german_4.ini
006 post_and_cross                         3 shapes 006_post_and_cross.ini
007 center_dot                             1 shapes 007_center_dot.ini
008 open_cross                             1 shapes 008_open_cross.ini
009 circle_dot                             4 shapes 009_circle_dot.ini
010 horseshoe_dot                          3 shapes 010_horseshoe_dot.ini
011 simple_chevron                         2 shapes 011_simple_chevron.ini
012 triple_chevron                         4 shapes 012_triple_chevron.ini
013 mil_dot_classic                       21 shapes 013_mil_dot_classic.ini
014 mil_hash_05                           41 shapes 014_mil_hash_05.ini
015 mil_hash_02                           81 shapes 015_mil_hash_02.ini
016 tactical_milling                      44 shapes 016_tactical_milling.ini
017 moa_hash                              49 shapes 017_moa_hash.ini
018 bdc_4                                  6 shapes 018_bdc_4.ini
019 bdc_6                                 20 shapes 019_bdc_6.ini
020 christmas_tree_light                  36 shapes 020_christmas_tree_light.ini
021 christmas_tree_dense                  85 shapes 021_christmas_tree_dense.ini
022 grid_light                             2 shapes 022_grid_light.ini
023 grid_dense                             3 shapes 023_grid_dense.ini
024 open_center_tactical                   5 shapes 024_open_center_tactical.ini
025 target_brackets                        3 shapes 025_target_brackets.ini
026 target_parentheses                     3 shapes 026_target_parentheses.ini
027 target_square                          3 shapes 027_target_square.ini
028 target_triangle                        3 shapes 028_target_triangle.ini
029 target_diamond                         3 shapes 029_target_diamond.ini
030 rapid_acq_circle                       5 shapes 030_rapid_acq_circle.ini
031 acog_chevron_style                     4 shapes 031_acog_chevron_style.ini
032 acog_cross_style                       5 shapes 032_acog_cross_style.ini
033 m40a1_unertl                          13 shapes 033_m40a1_unertl.ini
034 m24_mildot                            17 shapes 034_m24_mildot.ini
035 m21_art                                6 shapes 035_m21_art.ini
036 pu_soviet                              4 shapes 036_pu_soviet.ini
037 zf4_german                             4 shapes 037_zf4_german.ini
